fifa_version,player_positions,overall,potential,fifa_age,height_cm,weight_kg,club_name,club_position,club_contract_valid_until_year,nationality_name,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,name,age,fee,position,league
24.0,"ST, RM",84,87,24,187,73,Paris Saint Germain,ST,2028.0,France,SUB,Right,4,4,3,High/Medium,Lean (185+),"#Speedster, #Dribbler","Finesse Shot, Technical, Flair, Quick Step",91.0,78.0,73.0,86.0,38.0,67.0,64,82,79,80,80,88,70,54,62,85,90,91,84,83,83,81,89,74,74,68,36,38,85,82,70,86.0,32,33,32,7,14,15,8,5,,83+3,83+3,83+3,83,84,84,84,83,82+3,82+3,82+3,81+3,74+3,74+3,74+3,81+3,62+3,58+3,58+3,58+3,62+3,59+3,52+3,52+3,52+3,59+3,17+3,Randal Kolo Muani,24.0,65.0,Attack - Centre-Forward,Bundesliga
24.0,CB,84,87,25,178,77,Manchester United,LCB,2027.0,Argentina,SUB,Left,3,3,2,Medium/High,Normal (170-185),,"Long Ball Pass, Slide Tackle, Bruiser",73.0,59.0,78.0,79.0,85.0,83.0,75,52,75,83,56,76,77,55,83,81,77,70,77,85,82,73,85,81,80,64,91,85,62,76,55,87.0,86,87,84,6,14,13,14,8,,70+2,70+2,70+2,73,73,73,73,73,75+2,75+2,75+2,76+2,79+2,79+2,79+2,76+2,81+2,84+2,84+2,84+2,81+2,82+2,84+2,84+2,84+2,82+2,19+2,Lisandro Martínez,25.0,50.0,Defender - Centre-Back,EPL
24.0,"CM, CDM",84,87,25,182,74,Newcastle United,CM,2026.0,Brazil,,Right,2,3,2,High/High,Lean (170-185),"#Playmaker, #Engine, #Complete midfielder","Pinged Pass, Long Ball Pass, Flair, Press Proven, Trivela",71.0,74.0,81.0,84.0,80.0,81.0,70,72,64,87,66,85,79,62,85,85,69,72,77,85,83,78,76,87,78,77,84,84,78,86,65,87.0,80,84,79,7,11,15,11,11,,77+2,77+2,77+2,80,80,80,80,80,82+2,82+2,82+2,81+2,84+2,84+2,84+2,81+2,81+2,84+2,84+2,84+2,81+2,80+2,80+2,80+2,80+2,80+2,19+2,Bruno Guimarães,25.0,60.0,midfield - Defensive Midfield,EPL
24.0,"CB, RB",84,86,27,195,99,Borussia Dortmund,RCB,2026.0,Germany,RCB,Right,3,3,3,Medium/Medium,Stocky (185+),"#Aerial threat, #Tackling, #Strength","Slide Tackle +, Incisive Pass, Anticipate, Bruiser, Aerial",73.0,51.0,68.0,62.0,85.0,85.0,48,36,81,81,59,60,43,38,82,69,60,83,34,82,44,78,81,64,95,62,85,81,42,66,32,84.0,85,87,87,15,7,14,7,15,,64+3,64+3,64+3,61,63,63,63,61,65+3,65+3,65+3,64+3,71+3,71+3,71+3,64+3,74+3,80+3,80+3,80+3,74+3,77+3,84+2,84+2,84+2,77+3,19+3,Niklas Süle,27.0,35.0,Defender - Centre-Back,Bundesliga
24.0,"ST, RW",84,85,26,175,73,Arsenal,SUB,2027.0,Brazil,,Right,3,4,2,High/High,Unique,"#Dribbler, #Acrobat","Technical, Flair, First Touch, Relentless",83.0,82.0,75.0,88.0,40.0,77.0,74,83,78,81,79,88,76,54,66,87,86,81,92,88,90,84,87,82,72,78,82,32,88,79,75,78.0,45,30,28,13,8,6,6,15,,84+1,84+1,84+1,84,85,85,85,84,84+1,84+1,84+1,83+2,76+2,76+2,76+2,83+2,63+2,61+2,61+2,61+2,63+2,60+2,55+2,55+2,55+2,60+2,19+2,Gabriel Jesus,26.0,75.0,Attack - Centre-Forward,EPL
24.0,"LM, LW, RW",84,85,25,175,70,Juventus,LS,2025.0,Italy,,Right,4,4,3,High/Medium,Unique,"#Speedster, #Dribbler, #Acrobat","Rapid +, Finesse Shot, Flair, Quick Step, Trivela",91.0,82.0,76.0,86.0,53.0,75.0,75,81,50,78,80,89,78,62,72,82,91,91,89,84,81,86,75,85,70,84,74,54,83,77,62,82.0,60,48,44,6,7,8,9,7,,80+3,80+3,80+3,83,83,83,83,83,82+3,82+3,82+3,83+2,77+3,77+3,77+3,83+2,71+3,68+3,68+3,68+3,71+3,67+3,61+3,61+3,61+3,67+3,16+3,Federico Chiesa,25.0,50.0,Attack - Left Winger,SerieA
24.0,"LW, LM",84,85,26,180,73,Liverpool,LW,2027.0,Colombia,,Right,4,4,2,High/Medium,Unique,"#Speedster, #Dribbler, #Acrobat","Technical, Flair, Quick Step",91.0,81.0,75.0,87.0,34.0,74.0,76,81,62,76,74,89,77,58,71,87,92,91,88,83,75,84,80,84,69,82,70,25,82,77,63,83.0,28,38,34,10,13,13,14,14,,81+2,81+2,81+2,84,83,83,83,84,82+2,82+2,82+2,83+2,75+2,75+2,75+2,83+2,63+2,59+2,59+2,59+2,63+2,59+2,51+2,51+2,51+2,59+2,20+2,Luis Díaz,26.0,75.0,Attack - Left Winger,EPL
24.0,ST,84,84,30,191,94,Roma,SUB,2024.0,Belgium,ST,Left,4,3,4,Medium/Low,Unique,"#Poacher, #Strength, #Complete forward","Power Shot, Power Header, Press Proven",80.0,84.0,74.0,77.0,38.0,82.0,73,86,83,77,79,82,78,66,70,78,72,86,59,82,52,87,93,64,95,75,71,27,85,75,89,82.0,30,41,30,8,15,14,7,10,,83+1,83+1,83+1,79,81,81,81,79,78+3,78+3,78+3,78+3,72+3,72+3,72+3,78+3,59+3,58+3,58+3,58+3,59+3,56+3,56+3,56+3,56+3,56+3,18+3,Romelu Lukaku,30.0,40.0,Attack - Centre-Forward,SerieA
24.0,CB,84,84,32,186,93,Al Hilal,RCB,2026.0,Senegal,,Right,4,2,3,Medium/High,Unique,#Strength,"Power Header, Block, Bruiser",76.0,48.0,63.0,68.0,84.0,83.0,50,43,82,71,48,70,53,39,69,72,65,85,45,84,33,67,82,68,91,38,84,83,50,65,50,82.0,86,85,83,7,11,7,13,5,,65+3,65+3,65+3,63,65,65,65,63,65+3,65+3,65+3,66+3,69+3,69+3,69+3,66+3,75+3,78+3,78+3,78+3,75+3,77+3,84,84,84,77+3,17+3,Kalidou Koulibaly,31.0,25.0,Defender - Centre-Back,EPL
24.0,GK,84,84,31,199,76,Newcastle United,GK,2026.0,England,RES,Right,3,1,2,Medium/Medium,Lean (185+),,Footwork,,,,,,,11,14,11,32,14,15,13,12,52,25,50,47,36,80,42,56,71,37,75,15,36,23,13,50,22,63.0,19,15,14,82,83,75,84,86,49.0,31+2,31+2,31+2,29,32,32,32,29,33+2,33+2,33+2,32+2,35+2,35+2,35+2,32+2,29+2,34+2,34+2,34+2,29+2,28+2,30+2,30+2,30+2,28+2,83+1,Nick Pope,31.0,18.0,Goalkeeper,EPL
24.0,CB,84,84,29,189,86,SC Freiburg,LCB,2026.0,Germany,,Right,3,2,3,High/Medium,Normal (185+),#Tactician ,"Long Ball Pass, Intercept, Anticipate",60.0,59.0,71.0,66.0,85.0,80.0,68,55,83,79,53,61,44,42,74,75,54,65,55,86,49,79,83,75,84,46,74,86,55,72,67,76.0,87,86,78,12,10,6,8,10,,68+3,68+3,68+3,65,67,67,67,65,68+3,68+3,68+3,68+3,73+3,73+3,73+3,68+3,77+3,81+3,81+3,81+3,77+3,78+3,83+1,83+1,83+1,78+3,18+3,Matthias Ginter,29.0,20.0,Defender - Centre-Back,Bundesliga
24.0,CB,83,88,23,191,90,Borussia Dortmund,SUB,2027.0,Germany,SUB,Left,2,3,3,High/High,Normal (185+),,"Power Header, Long Ball Pass, Jockey, Block, Intercept, Slide Tackle, Aerial",78.0,58.0,67.0,73.0,85.0,82.0,48,51,85,77,51,73,49,38,81,72,79,77,68,83,66,75,93,73,84,63,83,83,58,68,38,77.0,84,87,82,8,10,8,14,13,,70+3,70+3,70+3,68,70,70,70,68,71+3,71+3,71+3,70+3,74+3,74+3,74+3,70+3,76+3,80+3,80+3,80+3,76+3,78+3,83+3,83+3,83+3,78+3,19+3,Nico Schlotterbeck,23.0,40.0,Defender - Centre-Back,Bundesliga
24.0,CB,83,87,23,193,81,Newcastle United,LCB,2027.0,Netherlands,RES,Left,3,2,2,Medium/High,Normal (185+),#Strength,"Long Ball Pass, Jockey, Bruiser",65.0,37.0,63.0,66.0,84.0,84.0,43,24,81,79,27,63,47,28,76,74,53,75,57,83,34,65,84,70,90,37,86,82,45,59,37,77.0,85,84,84,12,9,8,6,14,,59+2,59+2,59+2,59,60,60,60,59,63+2,63+2,63+2,63+2,70+2,70+2,70+2,63+2,74+2,80+2,80+2,80+2,74+2,76+2,83+2,83+2,83+2,76+2,18+2,Sven Botman,23.0,45.0,Defender - Centre-Back,EPL
24.0,CB,83,85,27,187,82,FC Barcelona,LCB,2026.0,Denmark,LCB,Right,3,2,2,Low/Medium,Lean (185+),#Tactician ,,67.0,32.0,68.0,71.0,85.0,76.0,51,36,80,83,25,67,41,39,79,79,57,76,61,84,61,37,80,73,78,20,75,86,32,62,36,79.0,86,86,84,10,12,8,6,8,,57+2,57+2,57+2,61,60,60,60,61,64+2,64+2,64+2,66+2,71+2,71+2,71+2,66+2,77+2,81+2,81+2,81+2,77+2,78+2,83+2,83+2,83+2,78+2,17+2,Andreas Christensen,27.0,30.0,Defender - Centre-Back,LaLiga
24.0,"CDM, CM",83,84,27,190,85,Fulham,CDM,2027.0,Portugal,SUB,Right,4,2,2,Medium/High,Normal (185+),"#Tackling, #Strength","Bruiser +, Long Ball Pass, Slide Tackle",62.0,67.0,71.0,76.0,84.0,89.0,59,64,78,78,54,77,65,45,79,80,58,66,63,79,50,80,84,87,89,65,94,81,68,71,56,83.0,83,87,86,14,10,8,7,7,,73+2,73+2,73+2,71,73,73,73,71,73+2,73+2,73+2,73+2,77+2,77+2,77+2,73+2,78+2,82+2,82+2,82+2,78+2,78+2,84,84,84,78+2,17+2,João Palhinha,27.0,35.0,midfield - Defensive Midfield,EPL
24.0,"CF, RW, RM",83,83,35,180,69,Benfica,RM,2024.0,Argentina,LW,Left,2,5,4,High/Medium,Unique,"#Dribbler, #FK Specialist, #Acrobat","Trickster +, Finesse Shot, Chip Shot, Pinged Pass, Technical, Flair, Trivela",78.0,78.0,86.0,89.0,48.0,67.0,85,74,53,87,78,90,92,88,81,91,80,76,91,81,75,80,69,73,61,86,72,42,80,89,73,89.0,41,55,52,10,7,11,12,11,,77+3,77+3,77+3,85-2,83,83,83,85-2,86-3,86-3,86-3,84-1,81+2,81+2,81+2,84-1,69+3,68+3,68+3,68+3,69+3,66+3,58+3,58+3,58+3,66+3,18+3,Ángel Di María,35.0,10.0,Attack - Right Winger,SerieA
24.0,"CM, CDM",83,83,31,181,76,Manchester United,LCM,2025.0,Denmark,LCM,Right,5,4,3,Medium/Medium,Unique,"#Playmaker, #Crosser, #FK Specialist, #Complete midfielder","Pinged Pass +, Dead Ball, Long Ball Pass, Whipped Cross, Flair",59.0,77.0,89.0,81.0,51.0,53.0,88,72,52,90,80,77,89,87,90,90,62,57,68,81,72,84,57,74,50,84,35,52,75,90,72,88.0,55,57,22,9,14,7,7,6,,74+3,74+3,74+3,79,79,79,79,79,82+1,82+1,82+1,80+3,82+1,82+1,82+1,80+3,67+3,68+3,68+3,68+3,67+3,62+3,54+3,54+3,54+3,62+3,17+3,Christian Eriksen,31.0,25.0,midfield - Central Midfield,EPL
24.0,ST,83,83,32,175,73,Olympique Lyonnais,ST,2025.0,France,,Right,4,4,3,High/High,Unique,,"Finesse Shot, Technical",72.0,84.0,77.0,83.0,44.0,77.0,70,86,76,82,81,83,74,74,72,84,71,73,82,84,83,85,84,72,79,78,74,42,86,81,83,84.0,39,45,32,11,6,9,5,6,,82+1,82+1,82+1,81,82,82,82,81,82+1,82+1,82+1,80+3,77+3,77+3,77+3,80+3,63+3,64+3,64+3,64+3,63+3,60+3,58+3,58+3,58+3,60+3,16+3,Alexandre Lacazette,31.0,12.0,Attack - Centre-Forward,Ligue1
24.0,CB,83,83,35,192,88,Inter,RES,2025.0,Italy,,Left,3,3,3,Medium/High,Normal (185+),,"Long Ball Pass, Block, Bruiser, Aerial",60.0,50.0,64.0,64.0,86.0,80.0,34,37,84,75,39,65,58,56,79,71,61,59,32,85,33,75,86,68,85,60,80,85,20,65,61,86.0,87,87,83,11,9,9,13,11,,60+3,60+3,60+3,57,60,60,60,57,62+3,62+3,62+3,60+3,70+3,70+3,70+3,60+3,72+3,80+3,80+3,80+3,72+3,74+3,83,83,83,74+3,19+3,Francesco Acerbi,35.0,4.0,Defender - Centre-Back,SerieA
24.0,"LW, RW, ST",83,83,28,170,69,Chelsea,RM,2027.0,England,SUB,Right,3,4,4,High/Medium,Unique,"#Dribbler, #Acrobat","Rapid, Quick Step",85.0,78.0,76.0,85.0,45.0,67.0,78,79,46,77,67,86,80,74,67,81,90,80,94,86,93,78,71,77,65,78,59,30,87,76,73,77.0,47,53,45,15,12,12,15,9,,77+3,77+3,77+3,82,81,81,81,82,81+2,81+2,81+2,81+2,75+3,75+3,75+3,81+2,66+3,62+3,62+3,62+3,66+3,63+3,54+3,54+3,54+3,63+3,21+3,Raheem Sterling,28.0,60.0,Attack - Left Winger,EPL
24.0,ST,83,83,29,191,90,Borussia Dortmund,ST,2026.0,Côte d'Ivoire,,Right,3,3,3,Medium/Medium,Normal (185+),"#Poacher, #Strength, #Complete forward","Power Header, Flair, First Touch, Acrobatic, Aerial",62.0,81.0,63.0,76.0,52.0,81.0,42,85,85,77,85,74,57,46,53,82,59,64,67,86,59,85,87,73,90,65,67,36,88,73,85,83.0,40,61,56,6,7,14,7,6,,82+1,82+1,82+1,73,79,79,79,73,76+3,76+3,76+3,72+3,72+3,72+3,72+3,72+3,61+3,63+3,63+3,63+3,61+3,61+3,64+3,64+3,64+3,61+3,16+3,Sébastien Haller,28.0,30.0,Attack - Centre-Forward,Bundesliga
24.0,"LM, LW",83,83,30,184,84,Juventus,LM,2026.0,Serbia,,Left,2,3,3,High/High,Normal (170-185),"#Engine, #Crosser","Pinged Pass, Whipped Cross, Rapid",85.0,76.0,82.0,82.0,70.0,80.0,90,72,59,81,75,84,85,80,79,82,85,85,76,80,79,86,80,90,77,78,76,69,78,80,66,82.0,69,74,72,13,14,12,12,13,,77+3,77+3,77+3,81,80,80,80,81,80+3,80+3,80+3,82+1,80+3,80+3,80+3,82+1,80+3,77+3,77+3,77+3,80+3,78+3,73+3,73+3,73+3,78+3,20+3,Filip Kostić,30.0,24.0,midfield - Left Midfield,SerieA
24.0,CB,83,83,28,185,75,Lazio,LCB,2027.0,Italy,SUB,Left,3,2,2,Medium/Medium,Unique,#Tackling ,Aerial,69.0,40.0,56.0,69.0,85.0,80.0,36,30,81,75,28,68,35,24,69,75,69,69,55,82,54,63,87,68,84,46,82,85,31,45,34,77.0,86,86,86,9,14,12,8,9,,59+2,59+2,59+2,58,59,59,59,58,61+2,61+2,61+2,61+2,66+2,66+2,66+2,61+2,73+2,78+2,78+2,78+2,73+2,76+2,83,83,83,76+2,18+2,Alessio Romagnoli,28.0,18.0,Defender - Centre-Back,SerieA
24.0,"ST, LW",82,88,24,187,80,Liverpool,SUB,2028.0,Uruguay,,Right,3,3,3,High/High,Normal (170-185),"#Speedster, #Engine","Rapid, Quick Step",90.0,81.0,71.0,76.0,43.0,85.0,68,81,79,72,78,76,75,61,68,76,88,92,78,84,66,85,94,88,85,75,80,41,86,76,78,79.0,38,41,34,14,10,12,10,13,,82+3,82+3,82+3,79,80,80,80,79,78+3,78+3,78+3,78+3,73+3,73+3,73+3,78+3,64+3,62+3,62+3,62+3,64+3,61+3,59+3,59+3,59+3,61+3,20+3,Darwin Núñez,23.0,70.0,Attack - Centre-Forward,EPL
24.0,"LB, LWB",82,87,21,176,70,Paris Saint Germain,SUB,2026.0,Portugal,SUB,Left,4,3,2,High/Medium,Normal (170-185),,"Incisive Pass, Whipped Cross, Rapid, Quick Step",89.0,58.0,75.0,80.0,77.0,76.0,79,45,70,79,54,78,73,59,72,80,90,88,82,80,84,80,84,81,73,63,74,77,77,72,45,80.0,76,79,78,7,8,8,12,15,,72+2,72+2,72+2,76,75,75,75,76,75+2,75+2,75+2,77+2,76+2,76+2,76+2,77+2,80+2,77+2,77+2,77+2,80+2,80+2,77+2,77+2,77+2,80+2,18+2,Nuno Mendes,20.0,65.0,Defender - Left-Back,Ligue1
24.0,CB,82,86,25,185,79,Tottenham Hotspur,RCB,2027.0,Argentina,RCB,Right,2,3,3,Medium/High,Normal (185+),,"Long Ball Pass, Intercept, Slide Tackle, Bruiser",70.0,46.0,59.0,66.0,84.0,80.0,42,48,82,74,52,60,54,38,64,68,72,69,67,83,65,51,88,71,81,36,89,83,43,50,40,82.0,85,84,83,5,7,11,10,14,,61+3,61+3,61+3,60,60,60,60,60,61+3,61+3,61+3,62+3,65+3,65+3,65+3,62+3,73+3,77+3,77+3,77+3,73+3,75+3,82+3,82+3,82+3,75+3,17+3,Cristian Romero,25.0,60.0,Defender - Centre-Back,EPL
24.0,"RB, RWB, RM",82,86,25,175,70,Atlético Madrid,RWB,2027.0,Argentina,RB,Right,3,3,1,High/High,Lean (170-185),#Engine,"Whipped Cross, Block",85.0,67.0,76.0,79.0,78.0,71.0,82,67,64,80,62,77,68,44,69,81,84,86,82,81,76,70,76,86,61,67,74,80,77,76,45,76.0,79,79,77,12,13,8,5,10,,73+2,73+2,73+2,78,77,77,77,78,77+2,77+2,77+2,79+2,77+2,77+2,77+2,79+2,81+2,78+2,78+2,78+2,81+2,80+2,76+2,76+2,76+2,80+2,18+2,Nahuel Molina,25.0,24.0,Defender - Right-Back,LaLiga
24.0,"CM, CDM",82,85,26,187,73,Tottenham Hotspur,SUB,2026.0,Uruguay,,Right,4,4,2,Medium/High,Lean (185+),,"First Touch, Relentless",70.0,67.0,81.0,83.0,79.0,77.0,76,66,65,85,71,85,71,68,83,85,70,70,70,79,76,69,74,86,72,65,78,82,72,83,67,86.0,79,83,78,8,7,14,14,12,,73+2,73+2,73+2,77,77,77,77,77,79+2,79+2,79+2,79+2,82+2,82+2,82+2,79+2,80+2,82+2,82+2,82+2,80+2,79+2,78+2,78+2,78+2,79+2,18+2,Rodrigo Bentancur,25.0,40.0,midfield - Central Midfield,EPL
24.0,RB,82,85,25,183,65,FC Bayern München,RB,2026.0,Morocco,LB,Right,3,3,2,High/Low,Lean (170-185),,"Jockey, Slide Tackle, Technical, Flair",79.0,66.0,77.0,83.0,77.0,74.0,79,69,65,83,56,83,69,42,76,84,83,75,86,79,70,68,78,85,70,61,69,81,80,77,44,79.0,76,78,83,12,7,13,12,12,,74+2,74+2,74+2,79,78,78,78,79,79+2,79+2,79+2,80+2,80+2,80+2,80+2,80+2,81+2,79+2,79+2,79+2,81+2,80+2,76+2,76+2,76+2,80+2,18+2,Noussair Mazraoui,25.0,28.0,Defender - Right-Back,Bundesliga
24.0,"CDM, CM",82,84,26,183,74,Al Ahli Jeddah,LDM,2026.0,Côte d'Ivoire,,Right,4,3,3,High/High,Normal (170-185),#Engine,"Power Shot, Relentless",79.0,76.0,74.0,79.0,81.0,87.0,66,73,68,81,60,78,61,54,75,82,77,80,70,79,77,84,85,93,87,78,82,82,76,76,88,83.0,83,82,78,9,11,12,12,10,,77+3,77+3,77+3,77,78,78,78,77,78+3,78+3,78+3,78+3,80+3,80+3,80+3,78+3,80+3,81+3,81+3,81+3,80+3,80+3,81+3,81+3,81+3,80+3,18+3,Franck Kessié,26.0,28.0,midfield - Central Midfield,LaLiga
