club,name,age,nationality,position,short_pos,fee,dealing_club,dealing_country,movement,window,league,season,is_loan,loan_status
FC Barcelona,Moussa Dembélé,24,France,Centre-Forward,CF,20000000.0,Olympique Lyon,France,out,summer,Laliga,2021,True,end of loan
FC Barcelona,Lucas Torreira,25,Uruguay,Defensive Midfield,DM,18000000.0,Arsenal,England,out,summer,Laliga,2021,True,end of loan
Real Madrid,Emerson Royal,22,Brazil,Right-Back,RB,25000000.0,Real Betis,Spain,in,summer,Laliga,2021,False,
Real Madrid,Yusuf Demir,18,Austria,Right Winger,RW,12000000.0,Rapid Vienna,Austria,in,summer,Laliga,2021,True,loan with fee
Real Madrid,Sergio Agüero,33,Argentina,Centre-Forward,CF,15000000.0,Man City,England,in,summer,Laliga,2021,False,
Real Madrid,Eric García,20,Spain,Centre-Back,CB,20000000.0,Man City,England,in,summer,Laliga,2021,False,
Real Madrid,Memphis Depay,27,Netherlands,Centre-Forward,CF,45000000.0,Olympique Lyon,France,in,summer,Laliga,2021,False,
Real Madrid,Luuk de Jong,31,Netherlands,Centre-Forward,CF,7500000.0,Sevilla FC,Spain,in,summer,Laliga,2021,True,free loan
Real Madrid,Emerson Royal,22,Brazil,Right-Back,RB,25000000.0,Spurs,England,out,summer,Laliga,2021,False,
Real Madrid,Junior Firpo,24,Dominican Republic,Left-Back,LB,12000000.0,Leeds,England,out,summer,Laliga,2021,False,
Real Madrid,Antoine Griezmann,30,France,Second Striker,SS,50000000.0,Atlético Madrid,Spain,out,summer,Laliga,2021,True,loan with fee
Real Madrid,Jean-Clair Todibo,21,France,Centre-Back,CB,14000000.0,OGC Nice,France,out,summer,Laliga,2021,False,
Real Madrid,Carles Aleñá,23,Spain,Central Midfield,CM,15000000.0,Getafe,Spain,out,summer,Laliga,2021,False,
Real Madrid,Lionel Messi,34,Argentina,Right Winger,RW,80000000.0,Paris SG,France,out,summer,Laliga,2021,False,
Real Madrid,Monchu,21,Spain,Central Midfield,CM,4000000.0,Granada CF,Spain,out,summer,Laliga,2021,False,
Real Madrid,Matheus Fernandes,23,Brazil,Central Midfield,CM,1500000.0,Palmeiras,Brazil,out,summer,Laliga,2021,False,
Real Madrid,Juan Miranda,21,Spain,Left-Back,LB,7000000.0,Real Betis,Spain,out,summer,Laliga,2021,False,
Real Madrid,Miralem Pjanic,31,Bosnia-Herzegovina,Central Midfield,CM,18000000.0,Besiktas,Turkey,out,summer,Laliga,2021,True,free loan
Real Madrid,Francisco Trincão,21,Portugal,Right Winger,RW,22000000.0,Wolves,England,out,summer,Laliga,2021,True,free loan
Sevilla FC,Eduardo Camavinga,18,France,Central Midfield,CM,55000000.0,Stade Rennais,France,in,summer,Laliga,2021,False,
Sevilla FC,David Alaba,29,Austria,Centre-Back,CB,55000000.0,FC Bayern,Germany,in,summer,Laliga,2021,False,
Sevilla FC,Raphaël Varane,28,France,Centre-Back,CB,70000000.0,Man Utd,England,out,summer,Laliga,2021,False,
Sevilla FC,Martin Ødegaard,22,Norway,Attacking Midfield,AM,40000000.0,Arsenal,England,out,summer,Laliga,2021,False,
Sevilla FC,Brahim Díaz,21,Spain,Attacking Midfield,AM,23000000.0,AC Milan,Italy,out,summer,Laliga,2021,True,loan with fee
Sevilla FC,Sergio Ramos,35,Spain,Centre-Back,CB,10000000.0,Paris SG,France,out,summer,Laliga,2021,False,
Sevilla FC,Takefusa Kubo,20,Japan,Right Winger,RW,10000000.0,RCD Mallorca,Spain,out,summer,Laliga,2021,True,free loan
Sevilla FC,Álvaro Odriozola,25,Spain,Right-Back,RB,10000000.0,Fiorentina,Italy,out,summer,Laliga,2021,True,free loan
Real Sociedad,Rafa Mir,24,Spain,Centre-Forward,CF,16000000.0,Wolves,England,in,summer,Laliga,2021,False,
Real Sociedad,Gonzalo Montiel,24,Argentina,Right-Back,RB,17000000.0,River Plate,Argentina,in,summer,Laliga,2021,False,
Real Sociedad,Thomas Delaney,29,Denmark,Defensive Midfield,DM,9000000.0,Bor. Dortmund,Germany,in,summer,Laliga,2021,False,
Real Sociedad,Ludwig Augustinsson,27,Sweden,Left-Back,LB,7500000.0,Werder Bremen,Germany,in,summer,Laliga,2021,False,
Real Sociedad,Erik Lamela,29,Argentina,Right Winger,RW,20000000.0,Spurs,England,in,summer,Laliga,2021,False,
Real Sociedad,Marko Dmitrovic,29,Serbia,Goalkeeper,GK,8000000.0,SD Eibar,Spain,in,summer,Laliga,2021,False,
Real Sociedad,Bryan Gil,20,Spain,Left Winger,LW,30000000.0,Spurs,England,out,summer,Laliga,2021,False,
Real Sociedad,Guilherme Arana,24,Brazil,Left-Back,LB,8000000.0,Atlético-MG,Brazil,out,summer,Laliga,2021,False,
Real Sociedad,Sergi Gómez,29,Spain,Centre-Back,CB,2000000.0,Espanyol,Spain,out,summer,Laliga,2021,False,
Real Sociedad,Franco Vázquez,32,Argentina,Attacking Midfield,AM,4000000.0,Parma,Italy,out,summer,Laliga,2021,False,
Real Sociedad,Sergio Escudero,31,Spain,Left-Back,LB,2500000.0,Granada CF,Spain,out,summer,Laliga,2021,False,
Real Sociedad,Aleix Vidal,31,Spain,Right-Back,RB,2000000.0,Espanyol,Spain,out,summer,Laliga,2021,False,
Real Sociedad,José Alonso Lara,21,Spain,Left Winger,LW,500000.0,Betis B,Spain,out,summer,Laliga,2021,False,
Real Sociedad,Juan Soriano,23,Spain,Goalkeeper,GK,1000000.0,CD Tenerife,Spain,out,summer,Laliga,2021,False,
Real Sociedad,Tomas Vaclik,32,Czech Republic,Goalkeeper,GK,4000000.0,Olympiacos,Greece,out,summer,Laliga,2021,False,
Real Sociedad,Luuk de Jong,31,Netherlands,Centre-Forward,CF,7500000.0,Barcelona,Spain,out,summer,Laliga,2021,True,free loan
Real Sociedad,Juan Berrocal,22,Spain,Centre-Back,CB,1000000.0,Sporting Gijón,Spain,out,summer,Laliga,2021,True,free loan
Real Sociedad,Rony Lopes,25,Portugal,Right Winger,RW,7000000.0,Olympiacos,Greece,out,summer,Laliga,2021,True,free loan
Real Sociedad,Alejandro Pozo,22,Spain,Attacking Midfield,AM,4000000.0,UD Almería,Spain,out,summer,Laliga,2021,True,free loan
Real Sociedad,Joris Gnagnon,24,France,Centre-Back,CB,1200000.0,Without Club,,out,summer,Laliga,2021,False,
Villarreal CF,Alexander Sörloth,25,Norway,Centre-Forward,CF,16000000.0,RB Leipzig,Germany,in,summer,Laliga,2021,True,loan with fee
Villarreal CF,Diego Rico,28,Spain,Left-Back,LB,2000000.0,Bournemouth,England,in,summer,Laliga,2021,False,
Villarreal CF,Mathew Ryan,29,Australia,Goalkeeper,GK,6000000.0,Brighton,England,in,summer,Laliga,2021,False,
Villarreal CF,Martín Merquelanz,26,Spain,Left Winger,LW,2000000.0,Rayo Vallecano,Spain,out,summer,Laliga,2021,True,free loan
Villarreal CF,Kévin Rodrigues,27,Portugal,Left-Back,LB,2500000.0,Rayo Vallecano,Spain,out,summer,Laliga,2021,True,free loan
Villarreal CF,Willian José,29,Brazil,Centre-Forward,CF,18000000.0,Real Betis,Spain,out,summer,Laliga,2021,True,free loan
Villarreal CF,Jon Bautista,26,Spain,Centre-Forward,CF,1200000.0,CD Leganés,Spain,out,summer,Laliga,2021,True,free loan
Villarreal CF,Modibo Sagnan,22,France,Centre-Back,CB,3000000.0,Tondela,Portugal,out,summer,Laliga,2021,True,free loan
Villarreal CF,Miguel Ángel Moyá,37,Spain,Goalkeeper,GK,,,,out,summer,Laliga,2021,False,
Real Betis Balompié,Arnaut Danjuma,24,Netherlands,Left Winger,LW,25000000.0,Bournemouth,England,in,summer,Laliga,2021,False,
Real Betis Balompié,Juan Foyth,23,Argentina,Centre-Back,CB,15000000.0,Spurs,England,in,summer,Laliga,2021,False,
Real Betis Balompié,Boulaye Dia,24,Senegal,Centre-Forward,CF,14000000.0,Stade Reims,France,in,summer,Laliga,2021,False,
Real Betis Balompié,Manu Morlanes,22,Spain,Central Midfield,CM,5000000.0,UD Almería,Spain,in,summer,Laliga,2021,False,
Real Betis Balompié,Aïssa Mandi,29,Algeria,Centre-Back,CB,8000000.0,Real Betis,Spain,in,summer,Laliga,2021,False,
Real Betis Balompié,Serge Aurier,28,Cote d'Ivoire,Right-Back,RB,15000000.0,Without Club,,in,summer,Laliga,2021,False,
Real Betis Balompié,Manu Morlanes,22,Spain,Central Midfield,CM,5000000.0,UD Almería,Spain,out,summer,Laliga,2021,False,
Real Betis Balompié,Ramiro Funes Mori,30,Argentina,Centre-Back,CB,2000000.0,Al-Nassr FC,Saudi Arabia,out,summer,Laliga,2021,False,
Real Betis Balompié,Mario González,25,Spain,Centre-Forward,CF,3000000.0,SC Braga,Portugal,out,summer,Laliga,2021,False,
Real Betis Balompié,Enric Franquesa,24,Spain,Left-Back,LB,800000.0,Levante,Spain,out,summer,Laliga,2021,False,
Real Betis Balompié,Miguelón,25,Spain,Right-Back,RB,1000000.0,Espanyol,Spain,out,summer,Laliga,2021,False,
Real Betis Balompié,Soufiane Chakla,27,Morocco,Centre-Back,CB,800000.0,OH Leuven,Belgium,out,summer,Laliga,2021,False,
Real Betis Balompié,Andrei Ratiu,23,Romania,Right-Back,RB,600000.0,SD Huesca,Spain,out,summer,Laliga,2021,False,
Real Betis Balompié,Carlos Bacca,34,Colombia,Centre-Forward,CF,1500000.0,Granada CF,Spain,out,summer,Laliga,2021,False,
Real Betis Balompié,Jaume Costa,33,Spain,Left-Back,LB,2000000.0,RCD Mallorca,Spain,out,summer,Laliga,2021,False,
Real Betis Balompié,Iván Martín,22,Spain,Attacking Midfield,AM,800000.0,Alavés,Spain,out,summer,Laliga,2021,True,free loan
Real Betis Balompié,Xavi Quintillà,24,Spain,Left-Back,LB,2000000.0,CD Leganés,Spain,out,summer,Laliga,2021,True,free loan
Real Betis Balompié,Manu Morlanes,22,Spain,Central Midfield,CM,5000000.0,Espanyol,Spain,out,summer,Laliga,2021,True,free loan
Real Betis Balompié,Fer Niño,20,Spain,Centre-Forward,CF,5000000.0,RCD Mallorca,Spain,out,summer,Laliga,2021,True,free loan
Real Betis Balompié,Javi Ontiveros,23,Spain,Left Winger,LW,4000000.0,CA Osasuna,Spain,out,summer,Laliga,2021,True,free loan
Real Betis Balompié,Jorge Cuenca,21,Spain,Centre-Back,CB,6000000.0,Getafe,Spain,out,summer,Laliga,2021,True,free loan
Real Betis Balompié,Juan Foyth,23,Argentina,Centre-Back,CB,15000000.0,Spurs,England,out,summer,Laliga,2021,True,end of loan
Athletic Bilbao,Germán Pezzella,30,Argentina,Centre-Back,CB,5000000.0,Fiorentina,Italy,in,summer,Laliga,2021,False,
Athletic Bilbao,Juan Miranda,21,Spain,Left-Back,LB,7000000.0,Barcelona,Spain,in,summer,Laliga,2021,False,
Athletic Bilbao,Youssouf Sabaly,28,Senegal,Right-Back,RB,6500000.0,G. Bordeaux,France,in,summer,Laliga,2021,False,
Athletic Bilbao,Rui Silva,27,Portugal,Goalkeeper,GK,12000000.0,Granada CF,Spain,in,summer,Laliga,2021,False,
Athletic Bilbao,Willian José,29,Brazil,Centre-Forward,CF,18000000.0,Real Sociedad,Spain,in,summer,Laliga,2021,True,free loan
Athletic Bilbao,Héctor Bellerín,26,Spain,Right-Back,RB,20000000.0,Arsenal,England,in,summer,Laliga,2021,True,free loan
Athletic Bilbao,Emerson Royal,22,Brazil,Right-Back,RB,25000000.0,Barcelona,Spain,out,summer,Laliga,2021,False,
Athletic Bilbao,Aïssa Mandi,29,Algeria,Centre-Back,CB,8000000.0,Villarreal,Spain,out,summer,Laliga,2021,False,
Athletic Bilbao,Dani Martín,23,Spain,Goalkeeper,GK,2000000.0,Málaga CF,Spain,out,summer,Laliga,2021,True,free loan
Athletic Bilbao,Loren Morón,27,Spain,Centre-Forward,CF,9000000.0,Espanyol,Spain,out,summer,Laliga,2021,True,free loan
Athletic Bilbao,Sidnei,32,Brazil,Centre-Back,CB,2000000.0,Without Club,,out,summer,Laliga,2021,False,
Athletic Bilbao,Juan Miranda,21,Spain,Left-Back,LB,7000000.0,Barcelona,Spain,out,summer,Laliga,2021,True,end of loan
Granada CF,Álex Petxa,24,Spain,Right-Back,RB,800000.0,Real Sociedad B,Spain,in,summer,Laliga,2021,False,
Granada CF,Iago Herrerín,33,Spain,Goalkeeper,GK,1000000.0,Al-Raed,Saudi Arabia,out,summer,Laliga,2021,False,
Granada CF,Kenan Kodro,28,Bosnia-Herzegovina,Centre-Forward,CF,1000000.0,Fehérvár,Hungary,out,summer,Laliga,2021,False,
Granada CF,Iñigo Vicente,23,Spain,Left Winger,LW,1000000.0,CD Mirandés,Spain,out,summer,Laliga,2021,True,free loan
Granada CF,Imanol García de Albéniz,21,Spain,Left-Back,LB,300000.0,CD Mirandés,Spain,out,summer,Laliga,2021,True,free loan
Granada CF,Unai López,25,Spain,Central Midfield,CM,12000000.0,Rayo Vallecano,Spain,out,summer,Laliga,2021,True,free loan
Granada CF,Iñigo Córdoba,24,Spain,Left Winger,LW,1500000.0,Go Ahead Eagles,Netherlands,out,summer,Laliga,2021,True,free loan
Granada CF,Ibai Gómez,31,Spain,Right Winger,RW,800000.0,Without Club,,out,summer,Laliga,2021,False,
Celta de Vigo,Luís Maximiano,22,Portugal,Goalkeeper,GK,6000000.0,Sporting CP,Portugal,in,summer,Laliga,2021,False,
Celta de Vigo,Sergio Escudero,31,Spain,Left-Back,LB,2500000.0,Sevilla FC,Spain,in,summer,Laliga,2021,False,
Celta de Vigo,Luis Abram,25,Peru,Centre-Back,CB,7000000.0,Vélez Sarsfield,Argentina,in,summer,Laliga,2021,False,
Celta de Vigo,Monchu,21,Spain,Central Midfield,CM,4000000.0,Barcelona,Spain,in,summer,Laliga,2021,False,
Celta de Vigo,Carlos Bacca,34,Colombia,Centre-Forward,CF,1500000.0,Villarreal,Spain,in,summer,Laliga,2021,False,
Celta de Vigo,Rubén Rochina,30,Spain,Right Winger,RW,2800000.0,Levante,Spain,in,summer,Laliga,2021,False,
Celta de Vigo,Alpha Dionkou,19,Senegal,Right-Back,RB,300000.0,Man City U23,England,in,summer,Laliga,2021,False,
Celta de Vigo,Ricard Sánchez,21,Spain,Right-Back,RB,800000.0,Atl. Madrid B,Spain,in,summer,Laliga,2021,False,
Celta de Vigo,Santiago Arias,29,Colombia,Right-Back,RB,5000000.0,Atlético Madrid,Spain,in,summer,Laliga,2021,True,free loan
Celta de Vigo,Dimitri Foulquier,28,Guadeloupe,Right-Back,RB,2500000.0,Valencia,Spain,out,summer,Laliga,2021,False,
Celta de Vigo,Roberto Soldado,36,Spain,Centre-Forward,CF,1000000.0,Levante,Spain,out,summer,Laliga,2021,False,
Celta de Vigo,Fede Vico,27,Spain,Attacking Midfield,AM,2000000.0,CD Leganés,Spain,out,summer,Laliga,2021,False,
Celta de Vigo,Rui Silva,27,Portugal,Goalkeeper,GK,12000000.0,Real Betis,Spain,out,summer,Laliga,2021,False,
Celta de Vigo,Ricard Sánchez,21,Spain,Right-Back,RB,800000.0,CD Lugo,Spain,out,summer,Laliga,2021,True,free loan
Celta de Vigo,Alpha Dionkou,19,Senegal,Right-Back,RB,300000.0,San Fernando CD,Spain,out,summer,Laliga,2021,True,free loan
Celta de Vigo,Antoñín,21,Spain,Centre-Forward,CF,1000000.0,Málaga CF,Spain,out,summer,Laliga,2021,True,free loan
Celta de Vigo,Adrián Marín,24,Spain,Left-Back,LB,1200000.0,Famalicão,Portugal,out,summer,Laliga,2021,True,free loan
Celta de Vigo,Ramon Azeez,28,Nigeria,Central Midfield,CM,700000.0,Without Club,,out,summer,Laliga,2021,False,
Celta de Vigo,Domingos Quina,21,Portugal,Central Midfield,CM,3000000.0,Watford,England,out,summer,Laliga,2021,True,end of loan
Celta de Vigo,Nehuén Pérez,21,Argentina,Centre-Back,CB,4000000.0,Atlético Madrid,Spain,out,summer,Laliga,2021,True,end of loan
Celta de Vigo,Kenedy,25,Brazil,Left Winger,LW,10000000.0,Chelsea,England,out,summer,Laliga,2021,True,end of loan
Celta de Vigo,Yangel Herrera,23,Venezuela,Central Midfield,CM,18000000.0,Man City,England,out,summer,Laliga,2021,True,end of loan
Celta de Vigo,Jesús Vallejo,24,Spain,Centre-Back,CB,5000000.0,Real Madrid,Spain,out,summer,Laliga,2021,True,end of loan
Cádiz CF,Javi Galán,26,Spain,Left-Back,LB,6000000.0,SD Huesca,Spain,in,summer,Laliga,2021,False,
Cádiz CF,Franco Cervi,27,Argentina,Left Winger,LW,5000000.0,Benfica,Portugal,in,summer,Laliga,2021,False,
Cádiz CF,Thiago Galhardo,32,Brazil,Centre-Forward,CF,2500000.0,Internacional,Brazil,in,summer,Laliga,2021,True,loan with fee
Cádiz CF,Matías Dituro,34,Argentina,Goalkeeper,GK,1000000.0,CDUC,Chile,in,summer,Laliga,2021,True,free loan
Cádiz CF,Jeison Murillo,29,Colombia,Centre-Back,CB,7000000.0,Sampdoria,Italy,in,summer,Laliga,2021,True,free loan
Cádiz CF,Álvaro Vadillo,26,Spain,Left Winger,LW,1000000.0,Espanyol,Spain,out,summer,Laliga,2021,False,
Cádiz CF,Jozabed Sánchez,30,Spain,Central Midfield,CM,700000.0,Málaga CF,Spain,out,summer,Laliga,2021,False,
Cádiz CF,Juan Hernández,26,Spain,Right Winger,RW,400000.0,Alcorcón,Spain,out,summer,Laliga,2021,False,
Cádiz CF,David Costas,26,Spain,Centre-Back,CB,1200000.0,Real Oviedo,Spain,out,summer,Laliga,2021,False,
Cádiz CF,David Juncà,27,Spain,Left-Back,LB,500000.0,Girona,Spain,out,summer,Laliga,2021,False,
Cádiz CF,Iván Villar,24,Spain,Goalkeeper,GK,2500000.0,CD Leganés,Spain,out,summer,Laliga,2021,True,free loan
Cádiz CF,Emre Mor,24,Turkey,Right Winger,RW,575000.0,Karagümrük,Turkey,out,summer,Laliga,2021,True,free loan
Cádiz CF,Sergio Carreira,20,Spain,Right-Back,RB,1000000.0,CD Mirandés,Spain,out,summer,Laliga,2021,True,free loan
Cádiz CF,Gabriel Fernández,27,Uruguay,Centre-Forward,CF,2000000.0,FC Juárez,Mexico,out,summer,Laliga,2021,True,free loan
Cádiz CF,Facundo Ferreyra,30,Argentina,Centre-Forward,CF,1700000.0,Without Club,,out,summer,Laliga,2021,False,
Cádiz CF,Sergio Álvarez,34,Spain,Goalkeeper,GK,,,,out,summer,Laliga,2021,False,
Cádiz CF,Aarón Martín,24,Spain,Left-Back,LB,4500000.0,1.FSV Mainz 05,Germany,out,summer,Laliga,2021,True,end of loan
Cádiz CF,Jorge Sáenz,24,Spain,Centre-Back,CB,1000000.0,Valencia,Spain,out,summer,Laliga,2021,True,end of loan
Cádiz CF,Jeison Murillo,29,Colombia,Centre-Back,CB,7000000.0,Sampdoria,Italy,out,summer,Laliga,2021,True,end of loan
RCD Espanyol Barcelona,Santiago Arzamendia,23,Paraguay,Left-Back,LB,3000000.0,Cerro Porteño,Paraguay,in,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Tomás Alarcón,22,Chile,Defensive Midfield,DM,3000000.0,O'Higgins,Chile,in,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Jeremías Ledesma,28,Argentina,Goalkeeper,GK,6000000.0,Rosario Central,Argentina,in,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Álvaro Jiménez,26,Spain,Right Winger,RW,600000.0,Albacete,Spain,in,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Varazdat Haroyan,28,Armenia,Centre-Back,CB,1200000.0,FC Astana,Kazakhstan,in,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Martín Calderón,22,Spain,Central Midfield,CM,300000.0,RM Castilla,Spain,in,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Rubén Sobrino,29,Spain,Centre-Forward,CF,1500000.0,Valencia,Spain,in,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Milutin Osmajic,21,Montenegro,Centre-Forward,CF,400000.0,Sutjeska Niksic,Montenegro,in,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Víctor Chust,21,Spain,Centre-Back,CB,1000000.0,RM Castilla,Spain,in,summer,Laliga,2021,True,free loan
RCD Espanyol Barcelona,Florin Andone,28,Romania,Centre-Forward,CF,1500000.0,Brighton,England,in,summer,Laliga,2021,True,free loan
RCD Espanyol Barcelona,Pedro Alcalá,32,Spain,Centre-Back,CB,600000.0,FC Cartagena,Spain,out,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Gaspar Panadero,23,Spain,Left Winger,LW,300000.0,Qarabag FK,Azerbaijan,out,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Dani Sotres,28,Spain,Goalkeeper,GK,250000.0,CyD Leonesa,Spain,out,summer,Laliga,2021,False,
RCD Espanyol Barcelona,José Matos,26,Spain,Left-Back,LB,500000.0,Burgos CF,Spain,out,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Jean-Pierre Rhyner,25,Peru,Centre-Back,CB,300000.0,Volos NPS,Greece,out,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Caye Quintana,27,Spain,Centre-Forward,CF,300000.0,Slask Wroclaw,Poland,out,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Sergio González,24,Spain,Defensive Midfield,DM,500000.0,CD Tenerife,Spain,out,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Álvaro Giménez,30,Spain,Centre-Forward,CF,1000000.0,Real Zaragoza,Spain,out,summer,Laliga,2021,True,free loan
RCD Espanyol Barcelona,Nano Mesa,26,Spain,Centre-Forward,CF,500000.0,Real Zaragoza,Spain,out,summer,Laliga,2021,True,free loan
RCD Espanyol Barcelona,Jorge Pombo,27,Spain,Attacking Midfield,AM,1000000.0,Real Oviedo,Spain,out,summer,Laliga,2021,True,free loan
RCD Espanyol Barcelona,Filip Malbasic,28,Serbia,Right Winger,RW,900000.0,Without Club,,out,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Augusto Fernández,35,Argentina,Central Midfield,CM,,,,out,summer,Laliga,2021,False,
RCD Espanyol Barcelona,Rubén Sobrino,29,Spain,Centre-Forward,CF,1500000.0,Valencia,Spain,out,summer,Laliga,2021,True,end of loan
RCD Espanyol Barcelona,Ivan Saponjic,23,Serbia,Centre-Forward,CF,900000.0,Atlético Madrid,Spain,out,summer,Laliga,2021,True,end of loan
RCD Espanyol Barcelona,Jairo Izquierdo,27,Spain,Left Winger,LW,800000.0,Girona,Spain,out,summer,Laliga,2021,True,end of loan
RCD Espanyol Barcelona,Jeremías Ledesma,28,Argentina,Goalkeeper,GK,6000000.0,Rosario Central,Argentina,out,summer,Laliga,2021,True,end of loan
RCD Espanyol Barcelona,David Mayoral,24,Spain,Right Winger,RW,400000.0,CD Lugo,Spain,out,summer,Laliga,2021,True,free loan
CA Osasuna,Landry Dimata,23,Belgium,Centre-Forward,CF,3000000.0,RSC Anderlecht,Belgium,in,summer,Laliga,2021,False,
CA Osasuna,Álvaro Vadillo,26,Spain,Left Winger,LW,1000000.0,Celta de Vigo,Spain,in,summer,Laliga,2021,False,
CA Osasuna,Sergi Gómez,29,Spain,Centre-Back,CB,2000000.0,Sevilla FC,Spain,in,summer,Laliga,2021,False,
CA Osasuna,Miguelón,25,Spain,Right-Back,RB,1000000.0,Villarreal,Spain,in,summer,Laliga,2021,False,
CA Osasuna,Aleix Vidal,31,Spain,Right-Back,RB,2000000.0,Sevilla FC,Spain,in,summer,Laliga,2021,False,
CA Osasuna,Manu Morlanes,22,Spain,Central Midfield,CM,5000000.0,Villarreal,Spain,in,summer,Laliga,2021,True,free loan
CA Osasuna,Loren Morón,27,Spain,Centre-Forward,CF,9000000.0,Real Betis,Spain,in,summer,Laliga,2021,True,free loan
CA Osasuna,Yangel Herrera,23,Venezuela,Central Midfield,CM,18000000.0,Man City,England,in,summer,Laliga,2021,True,free loan
CA Osasuna,Lluís López,24,Spain,Centre-Back,CB,800000.0,Real Zaragoza,Spain,out,summer,Laliga,2021,False,
CA Osasuna,Matías Vargas,24,Argentina,Left Winger,LW,2700000.0,Adana Demirspor,Turkey,out,summer,Laliga,2021,True,free loan
CA Osasuna,Juan Camilo Becerra,23,Colombia,Centre-Forward,CF,350000.0,Ponferradina,Spain,out,summer,Laliga,2021,True,free loan
CA Osasuna,Víctor Gómez,21,Spain,Right-Back,RB,2500000.0,Málaga CF,Spain,out,summer,Laliga,2021,True,free loan
CA Osasuna,Pol Lozano,21,Spain,Central Midfield,CM,800000.0,Girona,Spain,out,summer,Laliga,2021,True,free loan
CA Osasuna,Miguelón,25,Spain,Right-Back,RB,1000000.0,Villarreal,Spain,out,summer,Laliga,2021,True,end of loan
CA Osasuna,Álvaro Vadillo,26,Spain,Left Winger,LW,1000000.0,Celta de Vigo,Spain,out,summer,Laliga,2021,True,end of loan
CA Osasuna,Landry Dimata,23,Belgium,Centre-Forward,CF,3000000.0,RSC Anderlecht,Belgium,out,summer,Laliga,2021,True,end of loan
Levante UD,Ante Budimir,29,Croatia,Centre-Forward,CF,9000000.0,RCD Mallorca,Spain,in,summer,Laliga,2021,False,
Levante UD,Jonás Ramalho,28,Angola,Centre-Back,CB,1000000.0,Girona,Spain,in,summer,Laliga,2021,False,
Levante UD,Kike García,31,Spain,Centre-Forward,CF,2800000.0,SD Eibar,Spain,in,summer,Laliga,2021,False,
Levante UD,Jesús Areso,21,Spain,Right-Back,RB,800000.0,Bilbao Athletic,Spain,in,summer,Laliga,2021,False,
Levante UD,Cote,31,Spain,Left-Back,LB,1500000.0,SD Eibar,Spain,in,summer,Laliga,2021,False,
