fifa_version,player_positions,overall,potential,value_eur,height_cm,weight_kg,club_name,club_position,club_contract_valid_until_year,nationality_name,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,name
24.0,"LW, LM",82,86,43500000.0,180,76,Manchester United,SUB,2026.0,England,,Right,3,5,3,Medium/Medium,#Dribbler,"Finesse Shot, Flair",78.0,70.0,80.0,87.0,33.0,47.0,77,76,38,85,80,89,84,65,68,86,81,75,89,78,89,63,56,66,45,59,25,36,82,84,74,85.0,30,34,28,7,11,10,11,13,,72+3,72+3,72+3,82,80,80,80,82,82+3,82+3,82+3,81+3,75+3,75+3,75+3,81+3,61+3,56+3,56+3,56+3,61+3,56+3,42+3,42+3,42+3,56+3,18+3,Jadon Sancho
24.0,"ST, LW, CF",82,85,40500000.0,180,75,Salernitana,SUB,2026.0,Senegal,,Right,3,3,1,High/Medium,,,82.0,81.0,62.0,81.0,27.0,77.0,50,86,77,74,75,83,56,49,54,82,80,84,74,79,70,84,90,74,83,69,62,23,83,65,81,75.0,28,17,14,11,10,15,14,10,,82+2,82+2,82+2,77,80,80,80,77,77+2,77+2,77+2,75+2,68+2,68+2,68+2,75+2,53+2,51+2,51+2,51+2,53+2,49+2,47+2,47+2,47+2,49+2,19+2,Boulaye Dia
24.0,"RM, ST",82,84,39500000.0,178,77,Borussia Dortmund,RM,2026.0,Netherlands,SUB,Right,4,4,2,High/Medium,"#Dribbler, #Acrobat","Technical, Flair, First Touch, Trickster, Quick Step, Trivela",89.0,80.0,73.0,85.0,35.0,73.0,74,82,67,79,76,86,76,61,58,85,91,87,87,81,86,86,83,76,73,72,65,31,80,74,74,79.0,29,33,35,7,9,9,10,14,,81+2,81+2,81+2,82,82,82,82,82,80+2,80+2,80+2,81+2,72+2,72+2,72+2,81+2,62+2,57+2,57+2,57+2,62+2,59+2,51+2,51+2,51+2,59+2,18+2,Donyell Malen
24.0,ST,82,82,10500000.0,193,91,Milan,ST,2024.0,France,ST,Left,3,3,3,Medium/Medium,"#Poacher, #Strength, #Complete forward","Acrobatic +, Power Header, Trivela, Aerial",43.0,83.0,74.0,74.0,42.0,80.0,64,87,89,82,86,69,71,65,64,86,38,47,55,86,53,86,82,61,90,69,76,42,88,78,88,85.0,37,37,20,12,15,11,6,5,,81+1,81+1,81+1,73,78,78,78,73,77+3,77+3,77+3,72+3,74+3,74+3,74+3,72+3,56+3,61+3,61+3,61+3,56+3,53+3,57+3,57+3,57+3,53+3,18+3,Olivier Giroud
24.0,"CDM, CM",82,82,27000000.0,186,86,Bayer 04 Leverkusen,SUB,2026.0,Germany,,Right,4,3,2,High/High,#Engine,"Power Shot, Anticipate, Bruiser, Relentless, Trivela",57.0,76.0,76.0,73.0,81.0,85.0,71,74,74,80,70,74,78,76,78,76,59,56,63,80,59,84,80,87,83,80,88,82,72,73,62,73.0,82,84,77,7,9,10,13,15,,75+2,75+2,75+2,73,74,74,74,73,74+2,74+2,74+2,74+2,78+2,78+2,78+2,74+2,77+2,81+1,81+1,81+1,77+2,77+2,81+1,81+1,81+1,77+2,19+2,Robert Andrich
24.0,LW,82,82,30500000.0,177,63,Lazio,LW,2025.0,Italy,LW,Right,4,4,1,High/Medium,"#Dribbler, #Acrobat","Technical, Flair, Trivela",87.0,77.0,74.0,88.0,57.0,67.0,72,79,66,78,74,89,67,51,75,86,89,85,92,81,87,78,79,77,63,76,61,58,79,77,61,83.0,55,58,52,13,16,14,8,7,,79+2,79+2,79+2,82,82,82,82,82,82,82,82,81+1,78+2,78+2,78+2,81+1,71+2,69+2,69+2,69+2,71+2,69+2,63+2,63+2,63+2,69+2,19+2,Mattia Zaccagni
24.0,CB,81,87,37000000.0,194,95,Liverpool,RCB,2026.0,France,RCB,Right,2,3,2,Medium/High,"#Aerial threat, #Strength","Block, Bruiser, Aerial",77.0,34.0,57.0,68.0,82.0,82.0,38,29,78,75,28,68,32,27,69,70,67,85,60,78,52,45,81,65,90,31,82,81,37,51,41,76.0,80,85,81,9,7,9,9,15,,57+2,57+2,57+2,58,59,59,59,58,61+2,61+2,61+2,62+2,65+2,65+2,65+2,62+2,72+2,76+2,76+2,76+2,72+2,74+2,81+2,81+2,81+2,74+2,17+2,Ibrahima Konaté
24.0,ST,81,81,25500000.0,181,78,Nice,RW,2026.0,France,,Left,4,3,2,High/High,#Engine,"Flair, Relentless, Trivela",72.0,81.0,76.0,79.0,40.0,79.0,74,83,84,80,84,79,75,59,71,81,71,72,81,80,63,82,87,88,77,77,72,36,82,78,69,80.0,38,34,23,14,15,9,14,9,,81,81,81,79,80,80,80,79,79+2,79+2,79+2,78+2,75+2,75+2,75+2,78+2,61+2,61+2,61+2,61+2,61+2,58+2,55+2,55+2,55+2,58+2,20+2,Gaëtan Laborde
24.0,"RW, RM",81,81,25500000.0,171,67,Napoli,RW,2025.0,Italy,RW,Left,4,4,2,High/Low,#Acrobat,"Finesse Shot, Whipped Cross, Technical, Trivela",83.0,77.0,78.0,84.0,42.0,55.0,80,76,40,79,75,83,79,77,76,84,84,82,89,81,88,78,55,77,41,82,63,38,76,77,70,79.0,63,29,29,11,12,6,8,11,,73+2,73+2,73+2,81,79,79,79,81,80+1,80+1,80+1,80+1,75+2,75+2,75+2,80+1,64+2,61+2,61+2,61+2,64+2,60+2,49+2,49+2,49+2,60+2,18+2,Matteo Politano
24.0,GK,80,86,27500000.0,199,88,Valencia,GK,2027.0,Georgia,,Left,3,1,2,Medium/Medium,,Far Throw,,,,,,,13,9,14,15,7,11,11,10,15,22,48,48,35,73,26,56,70,45,74,7,25,8,8,34,11,26.0,5,12,10,80,79,75,80,82,48.0,28+2,28+2,28+2,24,26,26,26,24,24+2,24+2,24+2,25+2,23+2,23+2,23+2,25+2,24+2,23+2,23+2,23+2,24+2,24+2,24+2,24+2,24+2,24+2,79+2,Giorgi Mamardashvili
24.0,CB,80,84,27000000.0,190,85,Lens,CB,2027.0,Austria,,Right,3,2,2,Medium/High,#Strength,"Long Ball Pass, Bruiser, Long Throw, Aerial",78.0,32.0,55.0,62.0,79.0,85.0,44,26,82,69,31,59,35,31,58,68,68,87,57,79,46,49,90,75,90,25,85,76,33,52,42,71.0,77,82,77,12,13,6,11,15,,56+2,56+2,56+2,56,56,56,56,56,57+2,57+2,57+2,60+2,62+2,62+2,62+2,60+2,71+2,73+2,73+2,73+2,71+2,74+2,80+2,80+2,80+2,74+2,20+2,Kevin Danso
24.0,"CB, LB",80,84,26500000.0,188,80,Feyenoord,LCB,2026.0,Slovakia,,Left,3,2,2,High/Medium,,"Long Ball Pass, Jockey, Anticipate",79.0,64.0,72.0,74.0,80.0,81.0,69,60,81,76,42,73,60,72,74,77,77,80,74,80,55,74,85,80,84,68,75,79,69,68,69,75.0,78,81,82,14,12,6,7,14,,72+2,72+2,72+2,73,73,73,73,73,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,78+2,78+2,78+2,78+2,78+2,79+2,80+2,80+2,80+2,79+2,19+2,David Hancko
24.0,"CM, CDM",80,83,27500000.0,183,77,Atalanta,CAM,2025.0,Netherlands,SUB,Left,2,3,2,Medium/Medium,,"Pinged Pass, Long Ball Pass, Relentless",68.0,75.0,80.0,76.0,76.0,77.0,76,70,73,84,69,75,69,77,83,81,64,72,66,83,71,79,78,85,75,80,73,79,75,77,85,79.0,77,75,75,14,8,14,12,10,,75+2,75+2,75+2,76,77,77,77,76,78+2,78+2,78+2,77+2,80+2,80+2,80+2,77+2,78+2,80+2,80+2,80+2,78+2,77+2,77+2,77+2,77+2,77+2,19+2,Teun Koopmeiners
24.0,"RM, CAM",80,81,25000000.0,172,72,Aston Villa,RES,2026.0,Argentina,,Right,4,4,2,High/High,,"Pinged Pass, Slide Tackle, Technical, Flair, Trivela",69.0,74.0,81.0,83.0,66.0,71.0,78,74,75,83,68,83,81,74,79,84,74,65,80,77,87,77,78,74,63,73,83,60,75,85,62,77.0,67,68,61,11,10,13,7,9,,76+2,76+2,76+2,79,79,79,79,79,80+1,80+1,80+1,79+2,79+2,79+2,79+2,79+2,72+2,73+2,73+2,73+2,72+2,71+2,69+2,69+2,69+2,71+2,17+2,Emiliano Buendía
24.0,ST,80,80,10500000.0,192,83,Inter,SUB,2024.0,Austria,,Right,4,4,3,Medium/Low,,"Flair, Press Proven, Trivela",74.0,79.0,78.0,79.0,44.0,80.0,77,79,79,81,77,77,78,72,74,84,73,74,70,77,77,80,88,75,83,80,77,38,79,79,77,79.0,40,42,39,14,15,10,10,15,,79+1,79+1,79+1,78,79,79,79,78,79+1,79+1,79+1,78+2,75+3,75+3,75+3,78+2,63+3,63+3,63+3,63+3,63+3,60+3,59+3,59+3,59+3,60+3,20+3,Marko Arnautovic
24.0,"CB, RWB, RM",80,80,10000000.0,183,70,Inter,RCB,2024.0,Italy,SUB,Right,5,3,2,Medium/Medium,,Jockey,71.0,59.0,73.0,76.0,83.0,71.0,72,55,76,84,59,72,69,35,71,80,68,73,77,83,78,69,76,79,62,56,80,83,78,65,45,79.0,83,84,82,6,7,7,12,7,,71+2,71+2,71+2,73,73,73,73,73,73+2,73+2,73+2,74+2,76+2,76+2,76+2,74+2,79+1,80,80,80,79+1,80,80,80,80,80,16+2,Matteo Darmian
24.0,"CM, CAM, CDM",80,80,20500000.0,178,76,Borussia Dortmund,RCM,2027.0,Austria,,Right,4,3,3,Medium/Medium,,"Power Shot, Intercept, Trivela",69.0,81.0,80.0,80.0,72.0,75.0,74,78,60,83,82,79,77,78,81,83,73,65,74,80,77,85,75,73,74,85,78,75,77,81,72,80.0,73,76,67,11,13,14,15,13,,77+3,77+3,77+3,78,79,79,79,78,80,80,80,78+2,80,80,80,78+2,75+3,78+2,78+2,78+2,75+3,74+3,73+3,73+3,73+3,74+3,20+3,Marcel Sabitzer
24.0,"CB, RB",79,86,32500000.0,187,82,RB Leipzig,RCB,2027.0,France,,Right,3,2,2,Medium/Medium,,Slide Tackle,74.0,43.0,64.0,68.0,80.0,80.0,60,39,80,70,31,67,55,32,69,68,71,76,64,76,64,61,88,74,82,33,79,81,54,63,47,74.0,76,84,76,8,6,6,11,15,,62+2,62+2,62+2,63,62,62,62,63,63+2,63+2,63+2,66+2,67+2,67+2,67+2,66+2,73+2,75+2,75+2,75+2,73+2,75+2,79+2,79+2,79+2,75+2,17+2,Mohamed Simakan
24.0,RB,79,84,25000000.0,178,70,Galatasaray,RB,2025.0,France,,Right,3,3,1,High/High,#Engine,"Jockey, Intercept, Anticipate, Technical, Relentless",86.0,55.0,65.0,75.0,76.0,84.0,67,44,59,71,38,74,60,45,64,73,85,86,85,79,83,70,90,91,81,67,79,78,61,58,49,72.0,79,78,76,10,11,13,10,6,,66+2,66+2,66+2,70,68,68,68,70,69+2,69+2,69+2,71+2,70+2,70+2,70+2,71+2,77+2,75+2,75+2,75+2,77+2,77+2,76+2,76+2,76+2,77+2,17+2,Sacha Boey
24.0,CM,79,83,24500000.0,178,76,VfL Wolfsburg,LCM,2028.0,Croatia,SUB,Left,3,4,2,High/Medium,,"Pinged Pass, Technical, Flair, First Touch",66.0,73.0,81.0,83.0,60.0,67.0,79,71,55,82,67,85,86,77,79,84,75,59,84,78,70,76,70,77,64,72,62,63,77,80,78,78.0,56,65,58,9,12,12,5,6,,73+2,73+2,73+2,78,78,78,78,78,79+2,79+2,79+2,79+2,79+2,79+2,79+2,79+2,71+2,71+2,71+2,71+2,71+2,69+2,64+2,64+2,64+2,69+2,16+2,Lovro Majer
24.0,ST,79,80,20500000.0,195,94,Villarreal,ST,2028.0,Norway,RM,Left,4,3,2,High/Medium,"#Aerial threat, #Strength","Rapid, Flair, Trivela",79.0,78.0,69.0,74.0,36.0,85.0,66,81,82,74,71,77,74,60,59,78,74,83,57,75,55,82,93,82,90,71,74,36,77,73,70,82.0,39,23,21,15,12,8,15,8,,79+1,79+1,79+1,75,77,77,77,75,75+2,75+2,75+2,75+2,69+2,69+2,69+2,75+2,58+2,57+2,57+2,57+2,58+2,55+2,54+2,54+2,54+2,55+2,19+2,Alexander Sörloth
24.0,"CF, RM, CM",79,79,6000000.0,180,70,Salernitana,RF,2024.0,Italy,,Right,4,4,3,Medium/Medium,,"Power Shot, Pinged Pass, Technical, Trivela",69.0,79.0,80.0,81.0,62.0,63.0,79,74,55,82,79,81,77,73,80,83,73,65,79,75,80,88,65,75,55,83,66,67,80,80,69,73.0,62,63,53,10,4,14,4,14,,75+3,75+3,75+3,78,79,79,79,78,80-1,80-1,80-1,78+1,79,79,79,78+1,71+3,71+3,71+3,71+3,71+3,68+3,63+3,63+3,63+3,68+3,16+3,Antonio Candreva
24.0,GK,79,79,8500000.0,191,80,Udinese,GK,2025.0,Italy,,Right,3,1,1,Medium/Medium,,,,,,,,,12,20,12,22,20,18,16,11,20,20,58,61,65,72,34,45,68,34,60,16,31,11,14,47,16,44.0,8,18,16,81,77,60,80,83,59.0,30+2,30+2,30+2,30,31,31,31,30,31+2,31+2,31+2,30+2,28+2,28+2,28+2,30+2,26+2,25+2,25+2,25+2,26+2,26+2,25+2,25+2,25+2,26+2,78+1,Marco Silvestri
24.0,"RWB, LWB",79,79,16000000.0,175,70,Lens,RWB,2028.0,Poland,,Right,3,3,2,High/Medium,#Speedster,"Whipped Cross, Rapid, Quick Step",91.0,72.0,75.0,76.0,69.0,74.0,78,71,59,77,72,76,71,62,72,77,92,91,75,80,75,73,79,85,70,72,69,70,74,74,76,78.0,68,71,69,7,14,13,8,11,,74+2,74+2,74+2,78,77,77,77,78,76+2,76+2,76+2,78+1,75+2,75+2,75+2,78+1,77+2,73+2,73+2,73+2,77+2,76+2,70+2,70+2,70+2,76+2,18+2,Przemyslaw Frankowski
24.0,"LWB, LM, RM",79,79,12500000.0,182,75,Atalanta,RM,2025.0,Italy,,Right,3,3,2,High/High,,Whipped Cross,78.0,67.0,73.0,74.0,75.0,72.0,81,60,69,75,69,76,76,59,68,74,77,78,71,73,68,78,76,81,66,74,75,76,72,68,59,73.0,74,77,78,11,9,8,6,11,,71+2,71+2,71+2,73,72,72,72,73,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,77+2,74+2,74+2,74+2,77+2,77+2,74+2,74+2,74+2,77+2,16+2,Davide Zappacosta
24.0,"CB, LB",78,85,26500000.0,193,81,Tottenham Hotspur,LCB,2029.0,Netherlands,,Left,3,3,1,High/Medium,,"Block, Slide Tackle",85.0,43.0,59.0,68.0,79.0,80.0,58,37,75,69,47,68,37,34,73,73,77,91,59,72,49,48,88,70,84,51,79,78,48,46,39,68.0,78,81,78,7,13,13,11,7,,61+2,61+2,61+2,63,61,61,61,63,62+2,62+2,62+2,65+2,66+2,66+2,66+2,65+2,74+2,74+2,74+2,74+2,74+2,75+2,78+2,78+2,78+2,75+2,17+2,Micky van de Ven
24.0,RW,78,84,22500000.0,189,73,Crystal Palace,RES,2027.0,France,,Left,2,4,1,Medium/Medium,#Acrobat,"Finesse Shot, Dead Ball, Long Ball Pass, Technical, Flair, Trivela",80.0,70.0,77.0,83.0,50.0,56.0,77,71,36,78,58,83,78,70,76,82,81,79,91,73,86,74,55,68,46,68,66,48,69,78,67,74.0,52,56,46,9,11,9,10,10,,69+2,69+2,69+2,78,76,76,76,78,78+2,78+2,78+2,77+2,74+2,74+2,74+2,77+2,66+2,65+2,65+2,65+2,66+2,63+2,55+2,55+2,55+2,63+2,17+2,Michael Olise
24.0,"RW, CF",78,84,22500000.0,182,77,VfL Wolfsburg,LW,2027.0,Austria,,Right,4,4,2,High/Medium,,"Pinged Pass, Rapid, Flair, First Touch, Relentless, Trivela, Acrobatic",83.0,69.0,71.0,81.0,49.0,72.0,73,69,44,74,57,84,64,50,63,79,85,82,84,76,82,77,70,83,71,67,60,48,77,79,52,68.0,53,47,45,12,13,9,14,13,,72+2,72+2,72+2,78,77,77,77,78,77+2,77+2,77+2,78+2,72+2,72+2,72+2,78+2,67+2,63+2,63+2,63+2,67+2,63+2,56+2,56+2,56+2,63+2,20+2,Patrick Wimmer
24.0,GK,78,83,17000000.0,196,90,Nantes,GK,2024.0,France,,Right,3,1,2,Medium/Medium,,Footwork,,,,,,,13,6,13,54,9,14,13,12,51,10,48,45,60,71,53,52,67,40,70,9,20,11,4,56,16,61.0,20,14,12,78,77,69,78,81,47.0,27+2,27+2,27+2,27,28,28,28,27,33+2,33+2,33+2,31+2,36+2,36+2,36+2,31+2,28+2,33+2,33+2,33+2,28+2,27+2,27+2,27+2,27+2,27+2,77+2,Alban Lafont
24.0,"CM, CDM",78,81,18500000.0,167,58,Fiorentina,SUB,2024.0,France,,Right,3,4,1,Medium/Medium,#Acrobat,"Relentless, Trivela",71.0,71.0,79.0,82.0,67.0,57.0,75,72,62,83,65,79,79,73,76,83,73,69,90,77,93,70,58,85,34,73,77,68,63,81,68,73.0,68,69,63,7,14,13,11,6,,70+2,70+2,70+2,76,75,75,75,76,78+2,78+2,78+2,77+2,78+2,78+2,78+2,77+2,74+2,74+2,74+2,74+2,74+2,72+2,66+2,66+2,66+2,72+2,17+2,Maxime López
24.0,CB,78,80,15000000.0,192,90,Crystal Palace,RCB,2026.0,Denmark,SUB,Right,3,2,2,Medium/Medium,#Strength,"Long Ball Pass, Block, Aerial",53.0,50.0,70.0,66.0,78.0,81.0,49,40,77,79,43,64,64,52,87,75,50,55,47,78,50,73,81,70,86,53,82,78,45,67,44,77.0,78,78,77,13,7,9,15,14,,62+2,62+2,62+2,60,63,63,63,60,65+2,65+2,65+2,64+2,72+2,72+2,72+2,64+2,70+2,78+2,78+2,78+2,70+2,71+2,78+2,78+2,78+2,71+2,19+2,Joachim Andersen
24.0,"RB, RM, LB",78,80,16000000.0,185,79,RB Leipzig,RB,2025.0,Germany,LB,Right,4,3,2,Medium/Medium,,Slide Tackle,74.0,53.0,73.0,77.0,75.0,73.0,77,50,63,79,53,78,73,49,66,77,75,73,75,78,69,62,77,75,74,46,68,76,64,69,59,73.0,75,77,75,8,9,13,12,14,,66+2,66+2,66+2,71,70,70,70,71,71+2,71+2,71+2,73+2,72+2,72+2,72+2,73+2,76+2,75+2,75+2,75+2,76+2,76+2,74+2,74+2,74+2,76+2,18+2,Benjamin Henrichs
24.0,GK,78,79,10500000.0,195,94,West Ham United,GK,2027.0,France,RES,Right,3,1,2,Medium/Medium,,,,,,,,,20,19,14,48,16,15,16,16,55,22,56,54,58,71,58,56,75,38,79,14,26,23,17,59,25,64.0,13,18,12,81,77,74,76,80,55.0,34+2,34+2,34+2,33,34,34,34,33,38+2,38+2,38+2,36+2,39+2,39+2,39+2,36+2,31+2,36+2,36+2,36+2,31+2,30+2,30+2,30+2,30+2,30+2,77+2,Alphonse Areola
24.0,"RM, CF",78,79,17000000.0,173,66,Fenerbahçe,RW,2027.0,Turkey,,Left,4,4,2,Medium/Medium,,"Pinged Pass, Rapid, Flair",78.0,76.0,77.0,80.0,38.0,50.0,80,74,62,76,72,80,84,68,74,81,82,74,79,76,81,78,65,70,44,77,37,29,75,78,77,74.0,43,33,30,9,13,7,9,8,,74+2,74+2,74+2,78,77,77,77,78,78+1,78+1,78+1,77+2,72+2,72+2,72+2,77+2,60+2,56+2,56+2,56+2,60+2,56+2,46+2,46+2,46+2,56+2,17+2,Cengiz Ünder
24.0,"RW, RM, CAM",78,78,11500000.0,182,70,Beşiktaş,SUB,2024.0,Algeria,,Left,3,4,2,Medium/Low,,"Pinged Pass, Long Ball Pass, Whipped Cross, Technical, Flair",71.0,72.0,81.0,81.0,28.0,58.0,84,71,56,81,62,82,84,74,81,82,71,71,80,74,73,72,66,67,57,77,48,27,76,81,75,75.0,25,24,23,12,6,15,7,15,,72+2,72+2,72+2,78,77,77,77,78,79-1,79-1,79-1,78,74+2,74+2,74+2,78,57+2,55+2,55+2,55+2,57+2,52+2,42+2,42+2,42+2,52+2,17+2,Rachid Ghezzal
