fifa_version,player_positions,overall,potential,fifa_age,height_cm,weight_kg,club_name,club_position,club_contract_valid_until_year,nationality_name,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,name,age,fee,position,league
24.0,"RB, RWB",84,86,24,181,73,Paris Saint Germain,RB,2026.0,Morocco,RB,Right,4,4,3,High/Low,Lean (170-185),#Speedster,"Whipped Cross, Quick Step",92.0,75.0,80.0,80.0,75.0,78.0,84,75,68,82,74,79,77,74,73,82,91,93,83,81,78,80,83,92,72,73,76,78,78,78,64,80.0,75,76,76,10,8,14,6,8,,78+3,78+3,78+3,81,80,80,80,81,80+3,80+3,80+3,82+3,79+3,79+3,79+3,82+3,82+3,79+3,79+3,79+3,82+3,81+3,76+3,76+3,76+3,81+3,16+3,Achraf Hakimi,22.0,60.0,Right-Back,Ligue 1
24.0,ST,84,84,30,191,94,Roma,SUB,2024.0,Belgium,ST,Left,4,3,4,Medium/Low,Unique,"#Poacher, #Strength, #Complete forward","Power Shot, Power Header, Press Proven",80.0,84.0,74.0,77.0,38.0,82.0,73,86,83,77,79,82,78,66,70,78,72,86,59,82,52,87,93,64,95,75,71,27,85,75,89,82.0,30,41,30,8,15,14,7,10,,83+1,83+1,83+1,79,81,81,81,79,78+3,78+3,78+3,78+3,72+3,72+3,72+3,78+3,59+3,58+3,58+3,58+3,59+3,56+3,56+3,56+3,56+3,56+3,18+3,Romelu Lukaku,28.0,115.0,Centre-Forward,Premier League
24.0,"CDM, CM, LB",82,89,20,182,68,Real Madrid,LCM,2027.0,France,SUB,Left,3,4,3,High/High,Lean (170-185),,"Jockey, Block, Bruiser, Technical, Flair",79.0,66.0,80.0,82.0,76.0,80.0,76,62,64,85,59,80,72,59,84,86,78,79,81,79,79,73,81,81,80,69,78,77,73,77,62,82.0,75,80,79,12,6,8,12,12,,73+3,73+3,73+3,78,77,77,77,78,79+3,79+3,79+3,79+3,80+3,80+3,80+3,79+3,80+3,81+3,81+3,81+3,80+3,79+3,78+3,78+3,78+3,79+3,18+3,Eduardo Camavinga,18.0,31.0,Central Midfield,Laliga
24.0,"LB, LWB",82,87,21,176,70,Paris Saint Germain,SUB,2026.0,Portugal,SUB,Left,4,3,2,High/Medium,Normal (170-185),,"Incisive Pass, Whipped Cross, Rapid, Quick Step",89.0,58.0,75.0,80.0,77.0,76.0,79,45,70,79,54,78,73,59,72,80,90,88,82,80,84,80,84,81,73,63,74,77,77,72,45,80.0,76,79,78,7,8,8,12,15,,72+2,72+2,72+2,76,75,75,75,76,75+2,75+2,75+2,77+2,76+2,76+2,76+2,77+2,80+2,77+2,77+2,77+2,80+2,80+2,77+2,77+2,77+2,80+2,18+2,Nuno Mendes,19.0,7.0,Left-Back,Ligue 1
24.0,CB,82,86,25,185,79,Tottenham Hotspur,RCB,2027.0,Argentina,RCB,Right,2,3,3,Medium/High,Normal (185+),,"Long Ball Pass, Intercept, Slide Tackle, Bruiser",70.0,46.0,59.0,66.0,84.0,80.0,42,48,82,74,52,60,54,38,64,68,72,69,67,83,65,51,88,71,81,36,89,83,43,50,40,82.0,85,84,83,5,7,11,10,14,,61+3,61+3,61+3,60,60,60,60,60,61+3,61+3,61+3,62+3,65+3,65+3,65+3,62+3,73+3,77+3,77+3,77+3,73+3,75+3,82+3,82+3,82+3,75+3,17+3,Cristian Romero,23.0,16.0,Centre-Back,Serie A
24.0,"LW, LM",82,86,23,180,76,Manchester United,SUB,2026.0,England,,Right,3,5,3,Medium/Medium,Unique,#Dribbler,"Finesse Shot, Flair",78.0,70.0,80.0,87.0,33.0,47.0,77,76,38,85,80,89,84,65,68,86,81,75,89,78,89,63,56,66,45,59,25,36,82,84,74,85.0,30,34,28,7,11,10,11,13,,72+3,72+3,72+3,82,80,80,80,82,82+3,82+3,82+3,81+3,75+3,75+3,75+3,81+3,61+3,56+3,56+3,56+3,61+3,56+3,42+3,42+3,42+3,56+3,18+3,Jadon Sancho,21.0,85.0,Left Winger,1 Bundesliga
24.0,"ST, LW, CF",82,85,26,180,75,Salernitana,SUB,2026.0,Senegal,,Right,3,3,1,High/Medium,Lean (170-185),,,82.0,81.0,62.0,81.0,27.0,77.0,50,86,77,74,75,83,56,49,54,82,80,84,74,79,70,84,90,74,83,69,62,23,83,65,81,75.0,28,17,14,11,10,15,14,10,,82+2,82+2,82+2,77,80,80,80,77,77+2,77+2,77+2,75+2,68+2,68+2,68+2,75+2,53+2,51+2,51+2,51+2,53+2,49+2,47+2,47+2,47+2,49+2,19+2,Boulaye Dia,24.0,12.0,Centre-Forward,Laliga
24.0,"CDM, CM",82,84,27,166,60,Galatasaray,RCM,2026.0,Uruguay,,Right,3,3,3,Medium/High,Normal (170-),#Acrobat,"Tiki Taka, Intercept, Anticipate, Slide Tackle, Relentless",76.0,70.0,77.0,80.0,79.0,78.0,71,68,59,82,65,77,70,72,76,80,80,72,87,84,90,80,74,92,68,71,87,82,68,78,48,82.0,83,81,79,5,5,13,7,9,,73+3,73+3,73+3,76,76,76,76,76,77+3,77+3,77+3,77+3,79+3,79+3,79+3,77+3,80+3,81+3,81+3,81+3,80+3,80+3,78+3,78+3,78+3,80+3,15+3,Lucas Torreira,25.0,1.5,Defensive Midfield,Premier League
24.0,"RM, ST",82,84,24,178,77,Borussia Dortmund,RM,2026.0,Netherlands,SUB,Right,4,4,2,High/Medium,Unique,"#Dribbler, #Acrobat","Technical, Flair, First Touch, Trickster, Quick Step, Trivela",89.0,80.0,73.0,85.0,35.0,73.0,74,82,67,79,76,86,76,61,58,85,91,87,87,81,86,86,83,76,73,72,65,31,80,74,74,79.0,29,33,35,7,9,9,10,14,,81+2,81+2,81+2,82,82,82,82,82,80+2,80+2,80+2,81+2,72+2,72+2,72+2,81+2,62+2,57+2,57+2,57+2,62+2,59+2,51+2,51+2,51+2,59+2,18+2,Donyell Malen,22.0,30.0,Centre-Forward,1 Bundesliga
24.0,ST,82,82,36,193,91,Milan,ST,2024.0,France,ST,Left,3,3,3,Medium/Medium,Normal (185+),"#Poacher, #Strength, #Complete forward","Acrobatic +, Power Header, Trivela, Aerial",43.0,83.0,74.0,74.0,42.0,80.0,64,87,89,82,86,69,71,65,64,86,38,47,55,86,53,86,82,61,90,69,76,42,88,78,88,85.0,37,37,20,12,15,11,6,5,,81+1,81+1,81+1,73,78,78,78,73,77+3,77+3,77+3,72+3,74+3,74+3,74+3,72+3,56+3,61+3,61+3,61+3,56+3,53+3,57+3,57+3,57+3,53+3,18+3,Olivier Giroud,34.0,1.0,Centre-Forward,Premier League
24.0,"CDM, CM",82,82,28,186,86,Bayer 04 Leverkusen,SUB,2026.0,Germany,,Right,4,3,2,High/High,Normal (185+),#Engine,"Power Shot, Anticipate, Bruiser, Relentless, Trivela",57.0,76.0,76.0,73.0,81.0,85.0,71,74,74,80,70,74,78,76,78,76,59,56,63,80,59,84,80,87,83,80,88,82,72,73,62,73.0,82,84,77,7,9,10,13,15,,75+2,75+2,75+2,73,74,74,74,73,74+2,74+2,74+2,74+2,78+2,78+2,78+2,74+2,77+2,81+1,81+1,81+1,77+2,77+2,81+1,81+1,81+1,77+2,19+2,Robert Andrich,26.0,6.5,Central Midfield,1 Bundesliga
24.0,GK,82,82,30,186,83,Cádiz,GK,2026.0,Argentina,,Right,2,1,2,Medium/Medium,Stocky (185+),,,,,,,,,18,16,17,35,19,17,20,18,28,13,49,42,40,78,50,56,68,40,65,22,25,22,15,38,25,42.0,15,15,14,83,79,75,79,84,46.0,31+2,31+2,31+2,28,30,30,30,28,30+2,30+2,30+2,30+2,30+2,30+2,30+2,30+2,29+2,29+2,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,81+1,Jeremías Ledesma,28.0,1.8,Goalkeeper,Laliga
24.0,LW,82,82,28,177,63,Lazio,LW,2025.0,Italy,LW,Right,4,4,1,High/Medium,Normal (170-185),"#Dribbler, #Acrobat","Technical, Flair, Trivela",87.0,77.0,74.0,88.0,57.0,67.0,72,79,66,78,74,89,67,51,75,86,89,85,92,81,87,78,79,77,63,76,61,58,79,77,61,83.0,55,58,52,13,16,14,8,7,,79+2,79+2,79+2,82,82,82,82,82,82,82,82,81+1,78+2,78+2,78+2,81+1,71+2,69+2,69+2,69+2,71+2,69+2,63+2,63+2,63+2,69+2,19+2,Mattia Zaccagni,26.0,0.2,Attacking Midfield,Serie A
24.0,CB,81,87,24,194,95,Liverpool,RCB,2026.0,France,RCB,Right,2,3,2,Medium/High,Stocky (185+),"#Aerial threat, #Strength","Block, Bruiser, Aerial",77.0,34.0,57.0,68.0,82.0,82.0,38,29,78,75,28,68,32,27,69,70,67,85,60,78,52,45,81,65,90,31,82,81,37,51,41,76.0,80,85,81,9,7,9,9,15,,57+2,57+2,57+2,58,59,59,59,58,61+2,61+2,61+2,62+2,65+2,65+2,65+2,62+2,72+2,76+2,76+2,76+2,72+2,74+2,81+2,81+2,81+2,74+2,17+2,Ibrahima Konaté,22.0,40.0,Centre-Back,1 Bundesliga
24.0,"RW, LW",81,84,25,180,72,Fiorentina,RW,2026.0,Argentina,SUB,Left,2,4,2,High/Medium,Lean (170-185),,"Technical, First Touch, Trivela",87.0,76.0,73.0,83.0,45.0,64.0,78,80,80,80,68,85,65,54,66,85,85,88,81,76,78,75,81,76,55,65,67,39,81,69,85,76.0,38,46,39,10,6,9,5,8,,79+2,79+2,79+2,81,80,80,80,81,79+2,79+2,79+2,80+2,73+2,73+2,73+2,80+2,65+2,61+2,61+2,61+2,65+2,63+2,56+2,56+2,56+2,63+2,15+2,Nicolás González,23.0,23.5,Left Winger,1 Bundesliga
24.0,"RWB, RM",81,82,27,188,80,Inter,RM,2025.0,Netherlands,RM,Right,3,2,3,High/Medium,Normal (185+),,"Whipped Cross, Block, Rapid, Quick Step, Long Throw",83.0,63.0,70.0,73.0,78.0,89.0,77,67,84,76,38,72,69,35,71,76,77,87,69,81,60,68,94,92,89,54,83,78,76,59,48,74.0,76,79,77,10,10,7,13,14,,74+3,74+3,74+3,74,73,73,73,74,72+3,72+3,72+3,75+3,73+3,73+3,73+3,75+3,79+3,78+3,78+3,78+3,79+3,80+2,80+2,80+2,80+2,80+2,19+3,Denzel Dumfries,25.0,12.5,Right-Back,Serie A
24.0,"ST, LM",81,82,26,178,74,Everton,LM,2024.0,Netherlands,,Right,4,4,1,High/Medium,Normal (170-185),,"Power Shot, Rapid, Flair",86.0,81.0,76.0,83.0,44.0,67.0,77,83,72,80,70,84,79,59,66,83,84,88,83,85,75,82,84,65,72,79,55,32,82,77,75,77.0,35,52,47,15,8,10,8,14,,81+1,81+1,81+1,82,82,82,82,82,81+1,81+1,81+1,80+2,74+2,74+2,74+2,80+2,65+2,61+2,61+2,61+2,65+2,63+2,57+2,57+2,57+2,63+2,19+2,Arnaut Danjuma,24.0,23.5,Left Winger,Laliga
24.0,GK,81,81,35,190,84,Roma,GK,2024.0,Portugal,SUB,Left,2,1,3,Medium/Medium,Normal (185+),,,,,,,,,12,12,11,34,16,20,10,16,32,25,53,57,61,76,54,58,73,45,77,11,37,23,13,64,32,66.0,14,13,11,79,80,77,79,79,55.0,32+3,32+3,32+3,32,34,34,34,32,36+3,36+3,36+3,34+3,35+3,35+3,35+3,34+3,30+3,33+3,33+3,33+3,30+3,29+3,29+3,29+3,29+3,29+3,79+2,Rui Patrício,33.0,11.5,Goalkeeper,Serie A
24.0,CB,81,81,34,186,81,Antwerp,RCB,2025.0,Belgium,,Right,3,2,3,Medium/Medium,Normal (185+),,"Power Header, Long Ball Pass, Anticipate",54.0,61.0,74.0,67.0,83.0,79.0,64,49,81,77,38,62,69,59,85,74,50,58,51,82,60,79,81,72,82,78,79,83,52,77,69,86.0,85,81,80,16,6,14,16,14,,66+3,66+3,66+3,65,66,66,66,65,69+3,69+3,69+3,67+3,75+3,75+3,75+3,67+3,74+3,80+1,80+1,80+1,74+3,75+3,81,81,81,75+3,21+3,Toby Alderweireld,32.0,13.0,Centre-Back,Premier League
24.0,"CDM, CB",81,81,31,188,83,Paris Saint Germain,SUB,2025.0,Portugal,LCB,Right,3,3,3,Medium/High,Normal (185+),#Strength,"Power Header, Incisive Pass, Intercept, Aerial",50.0,63.0,70.0,71.0,80.0,86.0,56,57,83,80,55,73,54,53,77,75,40,59,52,82,47,75,81,84,89,67,81,81,70,70,57,77.0,82,81,69,9,7,13,14,15,,70+3,70+3,70+3,67,70,70,70,67,71+3,71+3,71+3,69+3,76+3,76+3,76+3,69+3,73+3,79+2,79+2,79+2,73+3,73+3,80+1,80+1,80+1,73+3,19+3,Danilo Pereira,29.0,16.0,Defensive Midfield,Ligue 1
24.0,"RW, ST",81,81,30,175,70,Lazio,RW,2024.0,Brazil,,Right,4,4,3,High/High,Unique,#Engine,"Finesse Shot, Rapid, Flair, First Touch, Trivela",87.0,78.0,77.0,85.0,63.0,73.0,74,79,69,79,76,85,77,69,75,86,88,86,87,77,89,82,81,87,67,79,69,69,78,78,54,81.0,57,66,55,12,10,9,5,7,,79+2,79+2,79+2,81,81,81,81,81,81,81,81,81,79+2,79+2,79+2,81,74+3,72+3,72+3,72+3,74+3,72+3,67+3,67+3,67+3,72+3,16+3,Felipe Anderson,28.0,3.0,Left Winger,Premier League
24.0,ST,81,81,29,186,80,Juventus,SUB,2026.0,Poland,LS,Left,3,3,3,Medium/Medium,Lean (185+),,"Power Shot, Trivela",59.0,83.0,72.0,78.0,40.0,74.0,63,84,85,75,84,77,76,81,64,83,55,62,69,82,61,84,84,63,81,79,67,36,83,78,79,84.0,35,34,32,9,16,16,15,6,,80+1,80+1,80+1,75,79,79,79,75,77+3,77+3,77+3,74+3,72+3,72+3,72+3,74+3,57+3,58+3,58+3,58+3,57+3,54+3,55+3,55+3,55+3,54+3,19+3,Arkadiusz Milik,27.0,9.0,Centre-Forward,Ligue 1
24.0,ST,81,81,29,181,78,Nice,RW,2026.0,France,,Left,4,3,2,High/High,Normal (170-185),#Engine,"Flair, Relentless, Trivela",72.0,81.0,76.0,79.0,40.0,79.0,74,83,84,80,84,79,75,59,71,81,71,72,81,80,63,82,87,88,77,77,72,36,82,78,69,80.0,38,34,23,14,15,9,14,9,,81,81,81,79,80,80,80,79,79+2,79+2,79+2,78+2,75+2,75+2,75+2,78+2,61+2,61+2,61+2,61+2,61+2,58+2,55+2,55+2,55+2,58+2,20+2,Gaëtan Laborde,27.0,15.0,Centre-Forward,Ligue 1
24.0,"RW, RM",81,81,29,171,67,Napoli,RW,2025.0,Italy,RW,Left,4,4,2,High/Low,Normal (170-185),#Acrobat,"Finesse Shot, Whipped Cross, Technical, Trivela",83.0,77.0,78.0,84.0,42.0,55.0,80,76,40,79,75,83,79,77,76,84,84,82,89,81,88,78,55,77,41,82,63,38,76,77,70,79.0,63,29,29,11,12,6,8,11,,73+2,73+2,73+2,81,79,79,79,81,80+1,80+1,80+1,80+1,75+2,75+2,75+2,80+1,64+2,61+2,61+2,61+2,64+2,60+2,49+2,49+2,49+2,60+2,18+2,Matteo Politano,27.0,19.0,Right Winger,Serie A
24.0,GK,80,86,22,199,88,Valencia,GK,2027.0,Georgia,,Left,3,1,2,Medium/Medium,Lean (185+),,Far Throw,,,,,,,13,9,14,15,7,11,11,10,15,22,48,48,35,73,26,56,70,45,74,7,25,8,8,34,11,26.0,5,12,10,80,79,75,80,82,48.0,28+2,28+2,28+2,24,26,26,26,24,24+2,24+2,24+2,25+2,23+2,23+2,23+2,25+2,24+2,23+2,23+2,23+2,24+2,24+2,24+2,24+2,24+2,24+2,79+2,Giorgi Mamardashvili,20.0,0.2,Goalkeeper,Laliga
24.0,"RB, CB, CDM",80,85,25,187,83,Villarreal,RB,2026.0,Argentina,SUB,Right,3,3,1,Medium/High,Lean (185+),,"Block, Anticipate, Slide Tackle, Bruiser",71.0,46.0,71.0,72.0,81.0,77.0,73,43,78,79,43,69,61,47,69,78,70,72,68,78,71,56,84,72,77,42,79,80,53,65,47,67.0,81,82,80,8,15,7,14,9,,63+2,63+2,63+2,67,65,65,65,67,68+2,68+2,68+2,70+2,71+2,71+2,71+2,70+2,77+2,78+2,78+2,78+2,77+2,78+2,80+2,80+2,80+2,78+2,19+2,Juan Foyth,23.0,15.0,Centre-Back,Laliga
24.0,ST,80,84,25,195,86,Roma,RES,2026.0,England,,Right,3,3,2,Medium/Medium,Lean (185+),#Aerial threat,"Power Header, Flair",81.0,76.0,66.0,77.0,36.0,80.0,53,77,84,77,80,80,55,55,53,81,79,83,61,84,53,80,94,77,85,68,68,25,81,77,79,80.0,40,29,20,12,7,8,13,13,,80+2,80+2,80+2,76,80,80,80,76,77+2,77+2,77+2,76+2,70+2,70+2,70+2,76+2,57+2,56+2,56+2,56+2,57+2,54+2,53+2,53+2,53+2,54+2,19+2,Tammy Abraham,23.0,40.0,Centre-Forward,Premier League
24.0,CB,80,84,24,190,85,Lens,CB,2027.0,Austria,,Right,3,2,2,Medium/High,Normal (185+),#Strength,"Long Ball Pass, Bruiser, Long Throw, Aerial",78.0,32.0,55.0,62.0,79.0,85.0,44,26,82,69,31,59,35,31,58,68,68,87,57,79,46,49,90,75,90,25,85,76,33,52,42,71.0,77,82,77,12,13,6,11,15,,56+2,56+2,56+2,56,56,56,56,56,57+2,57+2,57+2,60+2,62+2,62+2,62+2,60+2,71+2,73+2,73+2,73+2,71+2,74+2,80+2,80+2,80+2,74+2,20+2,Kevin Danso,22.0,5.5,Centre-Back,1 Bundesliga
24.0,CB,80,84,24,185,73,Al Ahli Jeddah,LCB,2025.0,Brazil,,Right,2,2,2,Medium/High,Normal (185+),,"Block, Intercept, Slide Tackle",85.0,32.0,45.0,60.0,82.0,81.0,34,27,79,63,29,45,32,35,40,75,85,85,69,76,62,45,91,85,77,25,83,86,32,34,46,74.0,78,82,86,12,7,10,6,12,,54+2,54+2,54+2,53,53,53,53,53,53+2,53+2,53+2,56+2,57+2,57+2,57+2,56+2,73+2,73+2,73+2,73+2,73+2,77+2,80+2,80+2,80+2,77+2,17+2,Roger Ibañez,22.0,9.0,Centre-Back,Serie A
24.0,"CM, CDM",80,83,25,183,77,Atalanta,CAM,2025.0,Netherlands,SUB,Left,2,3,2,Medium/Medium,Normal (170-185),,"Pinged Pass, Long Ball Pass, Relentless",68.0,75.0,80.0,76.0,76.0,77.0,76,70,73,84,69,75,69,77,83,81,64,72,66,83,71,79,78,85,75,80,73,79,75,77,85,79.0,77,75,75,14,8,14,12,10,,75+2,75+2,75+2,76,77,77,77,76,78+2,78+2,78+2,77+2,80+2,80+2,80+2,77+2,78+2,80+2,80+2,80+2,78+2,77+2,77+2,77+2,77+2,77+2,19+2,Teun Koopmeiners,23.0,12.0,Defensive Midfield,Serie A
24.0,GK,80,82,28,189,77,Olympique de Marseille,GK,2026.0,Spain,,Left,3,1,2,Medium/Medium,Lean (185+),,,,,,,,,24,19,15,63,17,18,23,21,55,44,45,52,40,74,57,62,60,42,52,18,39,16,20,69,25,62.0,19,20,11,79,79,82,80,82,48.0,36+2,36+2,36+2,38,41,41,41,38,45+2,45+2,45+2,42+2,47+2,47+2,47+2,42+2,35+2,40+2,40+2,40+2,35+2,33+2,30+2,30+2,30+2,33+2,79+2,Pau López,26.0,0.72,Goalkeeper,Ligue 1
