,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
1551,Koray Günter,,28,1.86,Germany  Turkey,Höxter,4.5,5,Defender - Centre-Back,4,right,Sampdoria,6/30/2023,1/31/2023,EMG Mundial,,SerieA
1564,Emirhan Ilkhan,Emirhan İlkhan,18,1.75,Turkey,Istanbul,4.5,4.5,midfield - Central Midfield,26,right,Sampdoria,6/30/2023,1/31/2023,FutureBall,,SerieA
1568,Abdelhamid Sabiri,,26,1.86,Morocco  Germany,Goulmima,3,4,midfield - Attacking Midfield,11,right,Sampdoria,6/30/2023,1/31/2023,Amin Sakman,,SerieA
1592,Pablo Galdames,Pablo Ignacio Galdames Millán,26,1.76,Chile,Santiago de Chile,2,3.1,midfield - Defensive Midfield,27,right,Cremonese,6/30/2023,1/31/2023,PW SOCCER ...,,Other
1658,Matt Doherty,Matthew James Doherty,31,1.85,Ireland,Dublin,9,20,Defender - Right-Back,12,right,Atlético Madrid,6/30/2023,1/31/2023,Gestifute,Nike,LaLiga
1743,Ayoze Pérez,Ayoze Pérez Gutiérrez,29,1.78,Spain,Santa Cruz de Tenerife,6,30,Attack - Second Striker,21,right,Real Betis,6/30/2023,1/31/2023,no agent,adidas,LaLiga
1761,Ander Herrera,Ander Herrera Agüera,33,1.82,Spain,Bilbao,3,30,midfield - Central Midfield,23,right,Athletic,6/30/2024,1/31/2023,AC Talent,,LaLiga
1841,Haris Seferovic,Haris Seferović,31,1.89,Switzerland  Bosnia-Herzegovina,Sursee,6,18,Attack - Centre-Forward,22,left,Celta de Vigo,6/30/2023,1/31/2023,LIAN Sports Group,adidas,LaLiga
1916,Fernando Pacheco,Fernando Pacheco Flores,30,1.87,Spain,Badajoz,3,18,Goalkeeper,13,left,Espanyol,6/30/2026,1/31/2023,EMG Mundial,,LaLiga
1934,José Gragera,José Gragera Amado,23,1.86,Spain,Gijón,3,3,midfield - Central Midfield,15,right,Espanyol,6/30/2028,1/31/2023,Gelu Rodríguez,,LaLiga
1935,Denis Suárez,Denis Suárez Fernández,29,1.76,Spain,Salceda de Caselas,5,18,midfield - Attacking Midfield,6,right,Espanyol,6/30/2023,1/31/2023,Intermedia Sport ...,Nike,LaLiga
1980,Manu Morlanes,Manuel Morlanes Ariño,24,1.78,Spain,Zaragoza,4,5,midfield - Central Midfield,11,right,RCD Mallorca,6/30/2023,1/31/2023,Goal Management,,LaLiga
2028,Martin Hongla,Martin Hongla Yma II,25,1.81,Cameroon,Yaoundé,3.5,5,midfield - Defensive Midfield,20,right,Real Valladolid,6/30/2023,1/31/2023,YOU FIRST,,LaLiga
2034,Selim Amallah,,26,1.86,Morocco  Belgium,Hautrage,4,7,midfield - Attacking Midfield,9,right,Real Valladolid,6/30/2027,1/31/2023,CAA Stellar,Nike,LaLiga
2046,Jorge Meré,Jorge Meré Pérez,26,1.82,Spain,Oviedo,1.5,10,Defender - Centre-Back,25,right,Cádiz CF,6/30/2023,1/31/2023,Gelu Rodríguez,Nike,LaLiga
2064,Sergi Guardiola,Sergio Guardiola Navarro,31,1.85,Spain,Manacor,2.5,7.5,Attack - Centre-Forward,19,left,Cádiz CF,6/30/2023,1/31/2023,JV SPORTS SL,,LaLiga
2066,Chris Ramos,Christopher Ramos de la Flor,26,1.9,Spain,Cádiz,1.5,1.5,Attack - Centre-Forward,16,right,Cádiz CF,6/30/2028,1/31/2023,CONTROL ORIENTADO,,LaLiga
2086,Randy Nteka,,25,1.89,France  Angola,Paris,2,4,midfield - Attacking Midfield,18,left,Elche CF,6/30/2023,1/31/2023,Ballers Management ...,Puma,LaLiga
2155,Djed Spence,Diop Tehuti Djed-Hotep Spence,22,1.84,England  Jamaica,London,13,13,Defender - Right-Back,90,right,Rennes,6/30/2023,1/31/2023,Raps Management,,Ligue1
2168,Ibrahim Salah,ابراهيم صلاح,21,1.85,Morocco  Belgium,Saint-Josse-ten-Noode,3,3,Attack - Left Winger,34,right,Rennes,6/30/2027,1/31/2023,Football Solution ...,,Ligue1
2191,Vitinha,,23,1.78,Portugal,Cabeceiras de Basto,22,22,Attack - Centre-Forward,9,right,Marseille,6/30/2027,1/31/2023,FIA Football,,Ligue1
2217,Terem Moffi,Terem Igobor Moffi,23,1.88,Nigeria,Calabar,20,20,Attack - Centre-Forward,9,left,OGC Nice,6/30/2023,1/31/2023,Elite Project Group ...,,Ligue1
2237,Jeffinho,,23,1.76,Brazil,Volta Redonda,6,6,Attack - Left Winger,47,right,Olympique Lyon,6/30/2027,1/31/2023,MSB Sports,Puma,Ligue1
2285,Angelo Fulgini,,26,1.82,France  Cote d'Ivoire,Abidjan,9,12,midfield - Attacking Midfield,20,right,Lens,6/30/2023,1/31/2023,MY ELEVEN CONSULTING,,Ligue1
2331,Issiaga Sylla,,29,1.8,Guinea,Conakry,2,3.5,Defender - Left-Back,3,left,Montpellier,6/30/2025,1/31/2023,P.P.M.,,Ligue1
2371,Alexandre Olliero,,27,1.93,France,La Rochelle,0.7,0.7,Goalkeeper,96,right,Stade Reims,6/30/2026,1/31/2023,LB SPORT & ...,,Ligue1
2385,Myziane Maolida,,24,1.82,France  Comoros,Paris,1.75,9,Attack - Left Winger,11,right,Stade Reims,6/30/2023,1/31/2023,USFA Management,,Ligue1
2393,Julian Pollersbeck,,28,1.95,Germany,Altötting,0.6,3,Goalkeeper,23,right,FC Lorient,6/30/2023,1/31/2023,TDS SPORTS,Nike,Ligue1
2407,Ayman Kari,,18,1.76,France  Comoros,Ivry-sur-Seine,0.5,0.5,midfield - Central Midfield,44,right,FC Lorient,6/30/2023,1/31/2023,,,Ligue1
2479,Bradley Locko,Bradley Locko Banzouzi,21,1.8,France  Congo,Ivry-sur-Seine,3,3.5,Defender - Left-Back,28,left,Stade Brestois,6/30/2023,1/31/2023,Victor Aupetit,,Ligue1
2486,Félix Lemaréchal,,19,1.8,France  Cote d'Ivoire,Tours,0.7,0.7,midfield - Central Midfield,37,right,Stade Brestois,6/30/2023,1/31/2023,2SAgency,,Ligue1
2504,Faouzi Ghoulam,فوزي غلام,32,1.84,Algeria  France,Saint-Priest-en-Jarez,1,25,Defender - Left-Back,8,left,Angers SCO,6/30/2023,1/31/2023,Gestifute,Nike,Ligue1
2521,Ibrahima Niane,,24,1.87,Senegal  France,M'bour,3.5,9,Attack - Centre-Forward,7,right,Angers SCO,6/30/2023,1/31/2023,World Elites,,Ligue1
2549,Siriki Dembélé,Ben Siriki Dembélé,26,1.73,Scotland  Cote d'Ivoire,Ouragahio,2.5,2.8,Attack - Left Winger,77,right,AJ Auxerre,6/30/2023,1/31/2023,Relatives,,Other
2607,Moussa Djitté,Moussa Kalilou Djitté,23,1.8,Senegal,Diattouma,2,2,Attack - Centre-Forward,28,right,AC Ajaccio,6/30/2023,1/31/2023,FS Management,,Other
282,João Gomes,João Victor Gomes da Silva,22,1.76,Brazil,Rio de Janeiro,15,15,midfield - Central Midfield,35,right,Wolves,6/30/2028,1/30/2023,Carlos Leite,Nike,EPL
339,Yasin Ayari,Yasin Abbas Ayari,19,1.72,Sweden  Tunisia,Solna,4,4,midfield - Central Midfield,26,right,Brighton,6/30/2027,1/30/2023,Universal Twenty Two,,EPL
446,Weston McKennie,Weston James Earl McKennie,24,1.85,United States,"Little Elm, Texas",21,25,midfield - Central Midfield,28,right,Leeds,6/30/2023,1/30/2023,Wasserman,adidas,Other
514,Matías Viña,Matías Nicolás Viña Susperreguy,25,1.75,Uruguay  Italy,Empalme Olmos,6,12,Defender - Left-Back,18,left,Bournemouth,6/30/2023,1/30/2023,Relatives,Nike,EPL
773,Thomas Delaney,Thomas Joseph Delaney,31,1.82,Denmark  United States,Frederiksberg,3,27,midfield - Central Midfield,17,left,TSG Hoffenheim,6/30/2023,1/30/2023,Elite Sports ...,,Bundesliga
836,Nathanaël Mbuku,,21,1.7,France  DR Congo,Villeneuve-Saint-Georges,4,9,Attack - Left Winger,34,left,FC Augsburg,6/30/2027,1/30/2023,BS Group - BS Law,,Bundesliga
860,Genki Haraguchi,原口 元気,32,1.78,Japan,"Kumagaya, Saitama",2,4.5,midfield - Attacking Midfield,17,right,VfB Stuttgart,6/30/2024,1/30/2023,PRO Profil GmbH,Nike,Bundesliga
867,Gil Dias,Gil Bastião Dias,26,1.86,Portugal,Gafanha da Nazaré,2,4,Attack - Right Winger,31,left,VfB Stuttgart,6/30/2025,1/30/2023,Ulisses Santos - ...,Nike,Bundesliga
985,Maximilian Philipp,Maximilian Marcus Philipp,29,1.83,Germany,Berlin,2,20,Attack - Second Striker,17,right,Werder Bremen,6/30/2023,1/30/2023,Unique Sports Group,,Bundesliga
1304,Ivan Ilić,Иван Илић,22,1.85,Serbia,Niš,15,15,midfield - Central Midfield,8,left,Torino,,1/30/2023,RnB Sport,,SerieA
1516,Eldor Shomurodov,Эльдор Аъзамат ўғли Шомуродов,27,1.9,Uzbekistan,"Jarkurgan, Surxondaryo Region",7,14,Attack - Centre-Forward,14,right,Spezia Calcio,6/30/2023,1/30/2023,prosm,,Other
1545,Adolfo Gaich,Adolfo Julián Gaich,24,1.9,Argentina  Italy,Córdoba,1.8,12,Attack - Centre-Forward,38,right,Hellas Verona,6/30/2023,1/30/2023,,,SerieA
1565,Michaël Cuisance,Michaël Bruno Dominique Cuisance,23,1.81,France,Strasbourg,3.5,12,midfield - Central Midfield,80,left,Sampdoria,6/30/2023,1/30/2023,YA'ATS SPORTS,adidas,SerieA
1807,Pape Gueye,Pape Alassane Gueye,24,1.89,Senegal  France,Montreuil,10,12,midfield - Defensive Midfield,18,left,Sevilla FC,6/30/2023,1/30/2023,ROOF,adidas,LaLiga
1814,Bryan Gil,Bryan Gil Salvatierra,22,1.75,Spain,Barbate (Cádiz),12,30,Attack - Left Winger,25,left,Sevilla FC,6/30/2023,1/30/2023,IFM,,LaLiga
1976,Ludwig Augustinsson,Hans Carl Ludwig Augustinsson,29,1.81,Sweden,Stockholm,3,12,Defender - Left-Back,3,left,RCD Mallorca,6/30/2023,1/30/2023,HCM Sports ...,Nike,LaLiga
2228,Malo Gusto,,19,1.79,France  Portugal,Décines-Charpieu,25,25,Defender - Right-Back,27,right,Olympique Lyon,6/30/2023,1/30/2023,E CASTAGNINO,,Ligue1
2240,Amin Sarr,,22,1.88,Sweden  Senegal,Malmö,9,9,Attack - Centre-Forward,7,right,Olympique Lyon,6/30/2027,1/30/2023,HCM Sports ...,,Ligue1
2316,Andy Delort,,31,1.81,Algeria  France,Sète,10,16,Attack - Centre-Forward,99,right,FC Nantes,6/30/2023,1/30/2023,score agencies,,Ligue1
2406,Jean-Victor Makengo,,24,1.77,France  DR Congo,Etampes,10,10,midfield - Central Midfield,17,left,FC Lorient,6/30/2027,1/30/2023,Sport Cover,,Ligue1
2462,Jeff Reine-Adélaïde,Jeff Reine-Adélaïde,25,1.84,France  Martinique,Champigny-sur-Marne,7,25,midfield - Attacking Midfield,14,right,Troyes,6/30/2023,1/30/2023,Concept Sport Agency,,Ligue1
2490,Alberth Elis,Alberth Josué Elis Martínez,27,1.85,Honduras,San Pedro Sula,3.5,6.5,Attack - Right Winger,17,right,Stade Brestois,6/30/2023,1/30/2023,Futbol Consultants ...,,Ligue1
2542,Han-Noah Massengo,,21,1.78,France  Congo,Villepinte,4,8,midfield - Central Midfield,80,right,AJ Auxerre,6/30/2023,1/30/2023,Classico,Puma,Other
187,Anthony Gordon,Anthony Michael Gordon,22,1.82,England,Liverpool,40,40,Attack - Left Winger,8,right,Newcastle,,1/29/2023,Unique Sports Group,adidas,EPL
239,Tetê,,23,1.75,Brazil,Alvorada,25,28,Attack - Right Winger,37,left,Leicester,6/30/2023,1/29/2023,PabloBueno360,adidas,EPL
1539,Ondrej Duda,,28,1.81,Slovakia,Snina,4,17,midfield - Attacking Midfield,33,right,Hellas Verona,6/30/2023,1/29/2023,CAA Stellar,adidas,SerieA
2186,Azzedine Ounahi,عز الدين اوناهي,23,1.82,Morocco,Casablanca,15,15,midfield - Central Midfield,8,right,Marseille,6/30/2027,1/29/2023,Klan Soccer FZCO,adidas,Ligue1
1257,Josip Brekalo,,24,1.75,Croatia,Zagreb,6.5,15,Attack - Left Winger,77,right,Fiorentina,6/30/2026,1/28/2023,Niagara Sports ...,,SerieA
2408,Romain Faivre,,24,1.8,France  Algeria,Asnières-sur-Seine,8,15,midfield - Right Midfield,14,left,FC Lorient,6/30/2023,1/28/2023,Classico,,Ligue1
2463,Alexis Tibidi,Alexis Ronaldo Tibidi,19,1.87,France  Cameroon,Lille,2.5,2.5,Attack - Left Winger,25,right,Troyes,6/30/2027,1/28/2023,Power Soccer ...,,Ligue1
531,Antoine Semenyo,Antoine Serlom Semenyo,23,1.85,Ghana  England,London,9,9,Attack - Centre-Forward,24,right,Bournemouth,6/30/2027,1/27/2023,,,EPL
589,Julien Duranville,,17,1.7,Belgium,Uccle,5,5,Attack - Right Winger,16,right,Bor. Dortmund,,1/27/2023,Agent is known - Player under 18,,Bundesliga
621,Patrick Pentz,,26,1.82,Austria,Salzburg,1.5,2.5,Goalkeeper,28,left,B. Leverkusen,6/30/2025,1/27/2023,World in Motion,Uhlsport,Bundesliga
802,Aïssa Laïdouni,Aïssa Bilal Laïdouni,26,1.81,Tunisia  France,Montfermeil,4,4,midfield - Central Midfield,20,right,Union Berlin,,1/27/2023,World in Motion,,Bundesliga
2365,Yuito Suzuki,鈴木 唯人,21,1.75,Japan,"Miura, Kanagawa",0.7,0.7,midfield - Attacking Midfield,18,right,R. Strasbourg,6/30/2023,1/27/2023,Sarcle Co. Ltd.,,Ligue1
2415,Bamba Dieng,Cheikh Ahmadou Bamba Mbacké Dieng,23,1.78,Senegal,Pikine,8,10,Attack - Centre-Forward,11,right,FC Lorient,6/30/2025,1/27/2023,BMG,adidas,Ligue1
306,James Bree,James Patrick Bree,25,1.78,England,Wakefield,3,3,Defender - Right-Back,14,right,Southampton,6/30/2026,1/26/2023,Wasserman,,EPL
508,Darren Randolph,Darren Edward Andrew Randolph,36,1.87,Ireland  United States,Bray,0.5,4.5,Goalkeeper,12,right,Bournemouth,6/30/2024,1/26/2023,Unique Sports Group,,EPL
763,John Anthony Brooks,,30,1.94,United States  Germany,Berlin,3,15,Defender - Centre-Back,23,left,TSG Hoffenheim,6/30/2024,1/26/2023,ROGON,,Bundesliga
993,Moritz Jenz,,24,1.9,Germany,Berlin,5.5,5.5,Defender - Centre-Back,25,right,FC Schalke 04,6/30/2023,1/26/2023,Sports360 GmbH,,Bundesliga
1450,Domen Crnigoj,Domen Črnigoj,27,1.88,Slovenia,Koper,1.5,2,midfield - Central Midfield,22,right,Salernitana,6/30/2023,1/26/2023,Marcel Kacinari,,Other
1993,Diego Mariño,Diego Mariño Villar,33,1.87,Spain,Vigo,0.3,2.5,Goalkeeper,1,right,UD Almería,6/30/2024,1/26/2023,Promoesport,,LaLiga
2063,Roger Martí,Roger Martí Salvador,32,1.79,Spain,Torrent,2.5,10,Attack - Centre-Forward,15,right,Cádiz CF,6/30/2023,1/26/2023,Promoesport,,LaLiga
2167,Karl Toko Ekambi,Karl Brillant Toko Ekambi,30,1.82,Cameroon  France,Paris,10,18,Attack - Left Winger,17,right,Rennes,6/30/2023,1/26/2023,AMS CONSULTING,,Ligue1
2243,Benoît Costil,,35,1.88,France,Caen,1.5,8,Goalkeeper,25,right,LOSC Lille,6/30/2023,1/26/2023,SVF FOOT,,Ligue1
2320,Benjamin Lecomte,,32,1.86,France,Paris,4,17,Goalkeeper,40,left,Montpellier,6/30/2027,1/26/2023,,,Ligue1
161,Arnaut Danjuma,Arnaut Danjuma Adam Groeneveld,26,1.78,Netherlands  Nigeria,Lagos,27,50,Attack - Left Winger,16,right,Tottenham,6/30/2023,1/25/2023,Panthera Sports,,EPL
267,Daniel Bentley,Daniel Ian Bentley,29,1.93,England,Basildon,1.8,4,Goalkeeper,25,,Wolves,6/30/2025,1/25/2023,Unique Sports Group,,EPL
712,Nicolas Cozza,Nicolas Louis Marcel Cozza,24,1.78,France  Italy,Ganges,5,5,Defender - Left-Back,8,left,VfL Wolfsburg,6/30/2027,1/25/2023,,,Bundesliga
1049,Pierluigi Gollini,,28,1.94,Italy,Bologna,5,17,Goalkeeper,95,right,SSC Napoli,6/30/2023,1/25/2023,CAA Base Ltd,Nike,Other
1237,Salvatore Sirigu,,36,1.92,Italy,Nuoro,0.6,21.5,Goalkeeper,56,right,Fiorentina,6/30/2023,1/25/2023,,Nike,SerieA
1496,Przemyslaw Wisniewski,Przemysław Wiśniewski,24,1.95,Poland,Zabrze,3,3,Defender - Centre-Back,55,right,Spezia Calcio,6/30/2027,1/25/2023,INNfootball,,Other
2055,Gonzalo Escalante,,30,1.82,Argentina  Italy,Bella Vista,2,5,midfield - Central Midfield,17,right,Cádiz CF,6/30/2023,1/25/2023,YOU FIRST,,LaLiga
2197,Youssouf Ndayishimiye,,24,1.83,Burundi,Bujumbura,12,12,Defender - Centre-Back,55,right,OGC Nice,6/30/2027,1/25/2023,FutureBall,,Ligue1
2296,João Victor,,24,1.87,Brazil,Bauru,8,8,Defender - Centre-Back,38,right,FC Nantes,6/30/2023,1/25/2023,D2PSports,,Ligue1
2526,Ionut Radu,Ionuț Andrei Radu,25,1.88,Romania,Bukarest,3.5,15,Goalkeeper,1,right,AJ Auxerre,6/30/2023,1/25/2023,Oscar Damiani,,Other
896,Ludovic Ajorque,,29,1.96,France  Réunion,Saint-Denis,9,16,Attack - Centre-Forward,17,left,1.FSV Mainz 05,6/30/2026,1/24/2023,Léandre Chouya,,Bundesliga
1383,Franco Carboni,Franco Ezequiel Carboni,20,1.9,Argentina  Italy,Buenos Aires,1,1,Defender - Left-Back,11,left,Monza,6/30/2024,1/24/2023,Gr Sports,,Other
1438,William Troost-Ekong,William Paul Troost-Ekong,29,1.91,Nigeria  Netherlands,Haarlem,3,5,Defender - Centre-Back,15,right,Salernitana,6/30/2023,1/24/2023,FA Sport,Nike,Other
2040,Cyle Larin,Cyle Christopher Larin,28,1.88,Canada  Jamaica,"Brampton, Ontario",8,11.5,Attack - Centre-Forward,25,right,Real Valladolid,6/30/2023,1/24/2023,Axia Sports ...,adidas,LaLiga
2443,Saïd Hamulic,Said Hamulić,22,1.88,Bosnia-Herzegovina  Netherlands,Leiderdorp,1.5,1.5,Attack - Centre-Forward,29,right,Toulouse,6/30/2027,1/24/2023,RSport Agency,,Ligue1
14,Máximo Perrone,,20,1.77,Argentina  Spain,Buenos Aires,10,10,midfield - Defensive Midfield,32,left,Man City,6/30/2028,1/23/2023,,,EPL
60,Jakub Kiwior,Jakub Piotr Kiwior,23,1.89,Poland,Tychy,20,20,Defender - Centre-Back,15,left,Arsenal,6/30/2028,1/23/2023,FairSport,,EPL
